,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,ATL @ ORL,L,112,14,27,0.455,25,18,7,6,2024-25,Atlanta Hawks,0,0,4.0,ORL,126.6,11.8,34.4,0.5214000000000001,32.8,14.6,8.4,3.4,46.2,2.1025641025641026,66.00924,2025-04-06,2.0,0,False,114.31180410256411,Atlanta Hawks
1,2025-04-06,ATL vs. UTA,W,147,11,31,0.568,43,11,7,3,2024-25,Atlanta Hawks,1,1,3.0,UTA,124.2,11.8,33.2,0.5078,31.2,14.6,9.0,4.4,46.6,2.0,63.068760000000005,2025-04-05,1.0,1,False,111.66876,Atlanta Hawks
2,2025-04-05,ATL vs. NYK,L,105,9,29,0.466,24,15,11,7,2024-25,Atlanta Hawks,1,0,2.0,NYK,123.0,10.6,32.4,0.49860000000000004,31.4,14.0,8.6,4.0,45.0,2.0933333333333333,61.3278,2025-04-02,3.0,0,False,108.42113333333333,Atlanta Hawks
3,2025-04-02,ATL @ DAL,L,118,12,31,0.433,29,11,7,3,2024-25,Atlanta Hawks,0,0,1.0,DAL,119.0,11.6,30.2,0.47359999999999997,29.4,14.8,8.8,5.4,44.4,1.860759493670886,56.358399999999996,2025-04-01,1.0,1,True,102.61915949367088,Atlanta Hawks
4,2025-04-01,ATL vs. POR,L,113,12,33,0.446,26,19,12,8,2024-25,Atlanta Hawks,1,0,2.0,POR,125.6,11.8,31.0,0.48900000000000005,31.6,12.8,9.4,4.6,45.0,2.289855072463768,61.418400000000005,2025-03-30,2.0,0,False,108.70825507246377,Atlanta Hawks
5,2025-03-30,ATL @ MIL,W,145,15,31,0.532,36,8,10,2,2024-25,Atlanta Hawks,0,1,1.0,MIL,118.6,10.8,30.8,0.479,28.4,13.6,10.0,4.4,45.2,1.9452054794520548,56.8094,2025-03-27,3.0,0,False,103.95460547945206,Atlanta Hawks
6,2025-03-27,ATL @ MIA,L,112,6,30,0.518,27,15,10,2,2024-25,Atlanta Hawks,0,0,1.0,MIA,120.4,12.6,29.8,0.4692,30.0,13.4,9.4,3.2,42.400000000000006,2.0833333333333335,56.49168,2025-03-25,2.0,0,False,100.97501333333335,Atlanta Hawks
7,2025-03-25,ATL @ HOU,L,114,18,24,0.417,32,14,8,1,2024-25,Atlanta Hawks,0,0,2.0,HOU,123.2,12.2,29.4,0.493,31.2,14.4,10.2,3.4,43.0,2.0259740259740258,60.7376,2025-03-23,2.0,0,False,105.76357402597402,Atlanta Hawks
8,2025-03-23,ATL vs. PHI,W,132,10,29,0.552,35,16,11,4,2024-25,Atlanta Hawks,1,1,3.0,PHI,125.4,11.8,30.0,0.5178,33.4,13.4,8.8,2.4,41.2,2.319444444444444,64.93212000000001,2025-03-22,1.0,1,False,108.45156444444446,Atlanta Hawks
9,2025-03-22,ATL vs. GSW,W,124,10,36,0.57,37,14,5,3,2024-25,Atlanta Hawks,1,1,3.0,GSW,123.2,11.0,30.8,0.519,31.6,13.8,9.2,3.6,43.6,2.135135135135135,63.9408,2025-03-18,4.0,0,False,109.67593513513515,Atlanta Hawks
10,2025-03-18,ATL @ CHA,W,134,11,35,0.538,27,10,12,8,2024-25,Atlanta Hawks,0,1,3.0,CHA,123.6,11.8,30.4,0.5088,31.6,13.6,9.6,5.4,45.4,2.164383561643836,62.88768,2025-03-16,2.0,0,False,110.45206356164384,Atlanta Hawks
