,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,BOS @ NYK,W,119,9,29,0.46,26,15,8,4,2024-25,Boston Celtics,0,1,4.0,NYK,108.4,13.6,35.2,0.449,27.2,13.2,8.0,5.6,48.800000000000004,1.915492957746479,48.671600000000005,2025-04-06,2.0,0,False,99.38709295774649,Boston Celtics
1,2025-04-06,BOS vs. WAS,W,124,25,37,0.49,33,13,6,5,2024-25,Boston Celtics,1,1,4.0,WAS,114.4,12.6,36.2,0.4746,28.4,12.0,5.8,5.2,47.2,2.1846153846153844,54.29424,2025-04-04,2.0,0,False,103.67885538461539,Boston Celtics
2,2025-04-04,BOS vs. PHX,W,123,10,39,0.517,28,7,1,4,2024-25,Boston Celtics,1,1,3.0,PHX,109.0,14.4,32.6,0.461,26.2,12.6,4.6,4.8,42.0,1.9264705882352942,50.249,2025-04-02,2.0,0,False,94.1754705882353,Boston Celtics
3,2025-04-02,BOS vs. MIA,L,103,19,24,0.448,24,13,3,6,2024-25,Boston Celtics,1,0,4.0,MIA,117.2,15.0,34.2,0.46419999999999995,28.2,12.0,4.4,4.4,43.0,2.169230769230769,54.404239999999994,2025-03-31,2.0,0,False,99.57347076923077,Boston Celtics
4,2025-03-31,BOS @ MEM,W,117,12,42,0.406,30,12,4,3,2024-25,Boston Celtics,0,1,4.0,MEM,117.6,16.2,36.2,0.46799999999999997,29.4,10.8,3.2,4.4,43.800000000000004,2.491525423728813,55.03679999999999,2025-03-29,2.0,0,False,101.32832542372881,Boston Celtics
5,2025-03-29,BOS @ SAS,W,121,15,39,0.479,32,9,2,4,2024-25,Boston Celtics,0,1,4.0,SAS,119.2,13.4,36.2,0.47119999999999995,29.4,10.2,3.6,4.8,44.6,2.625,56.16703999999999,2025-03-26,3.0,0,False,103.39204,Boston Celtics
6,2025-03-26,BOS @ PHX,W,132,11,37,0.506,33,10,8,7,2024-25,Boston Celtics,0,1,4.0,PHX,117.2,13.4,35.4,0.45899999999999996,29.4,10.8,5.2,4.8,45.4,2.491525423728813,53.794799999999995,2025-03-24,2.0,0,False,101.6863254237288,Boston Celtics
7,2025-03-24,BOS @ SAC,W,113,10,35,0.456,28,10,9,4,2024-25,Boston Celtics,0,1,5.0,SAC,122.4,11.8,36.0,0.47840000000000005,30.8,10.0,5.8,4.8,46.6,2.8000000000000003,58.556160000000006,2025-03-23,1.0,1,True,107.95616000000001,Boston Celtics
8,2025-03-23,BOS @ POR,W,129,11,27,0.545,31,9,6,6,2024-25,Boston Celtics,0,1,5.0,POR,123.2,12.6,34.0,0.49000000000000005,30.2,9.6,7.6,5.0,46.6,2.849056603773585,60.36800000000001,2025-03-21,2.0,0,False,109.8170566037736,Boston Celtics
9,2025-03-21,BOS @ UTA,W,121,16,32,0.464,27,10,13,4,2024-25,Boston Celtics,0,1,5.0,UTA,119.8,10.8,34.6,0.4828,28.6,10.4,8.4,5.2,48.2,2.5087719298245617,57.839439999999996,2025-03-18,3.0,0,False,108.54821192982456,Boston Celtics
