,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,BKN vs. NOP,W,119,7,33,0.494,30,16,11,4,2024-25,Brooklyn Nets,1,1,1.0,NOP,106.6,9.2,32.8,0.4502,26.2,16.6,7.6,3.2,43.599999999999994,1.4886363636363635,47.991319999999995,2025-04-06,2.0,0,False,93.07995636363636,Brooklyn Nets
1,2025-04-06,BKN vs. TOR,L,109,8,38,0.476,25,23,8,7,2024-25,Brooklyn Nets,1,0,1.0,TOR,103.6,9.6,30.8,0.4328,28.0,15.0,9.0,2.8,42.6,1.75,44.83808,2025-04-03,3.0,0,False,89.18808,Brooklyn Nets
2,2025-04-03,BKN vs. MIN,L,90,8,26,0.427,30,10,11,0,2024-25,Brooklyn Nets,1,0,2.0,MIN,108.0,8.0,32.2,0.446,29.6,14.8,8.8,3.2,44.2,1.8734177215189873,48.168,2025-03-31,3.0,0,False,94.24141772151899,Brooklyn Nets
3,2025-03-31,BKN @ DAL,W,113,7,33,0.433,32,8,6,3,2024-25,Brooklyn Nets,0,1,3.0,DAL,109.2,8.4,33.4,0.4546,28.4,13.8,7.6,3.6,44.599999999999994,1.9189189189189186,49.642320000000005,2025-03-29,2.0,0,False,96.16123891891891,Brooklyn Nets
4,2025-03-29,BKN @ WAS,W,115,12,37,0.443,25,12,2,4,2024-25,Brooklyn Nets,0,1,2.0,WAS,105.4,9.0,33.4,0.43,27.8,13.4,7.4,3.4,44.2,1.9305555555555556,45.322,2025-03-28,1.0,1,True,91.45255555555556,Brooklyn Nets
5,2025-03-28,BKN vs. LAC,L,100,10,33,0.371,27,14,10,3,2024-25,Brooklyn Nets,1,0,2.0,LAC,100.8,9.4,32.4,0.40599999999999997,26.0,12.6,7.0,3.8,43.2,1.911764705882353,40.9248,2025-03-26,2.0,0,False,86.03656470588236,Brooklyn Nets
6,2025-03-26,BKN vs. TOR,L,86,10,33,0.356,16,19,6,9,2024-25,Brooklyn Nets,1,0,2.0,TOR,103.0,9.6,32.8,0.4232,26.0,14.2,6.2,4.2,43.199999999999996,1.7105263157894737,43.589600000000004,2025-03-24,2.0,0,False,88.50012631578947,Brooklyn Nets
7,2025-03-24,BKN vs. DAL,L,101,9,28,0.513,30,18,7,2,2024-25,Brooklyn Nets,1,0,1.0,DAL,101.0,10.4,33.6,0.4232,23.6,15.4,6.2,3.8,43.6,1.4390243902439026,42.7432,2025-03-22,2.0,0,False,87.7822243902439,Brooklyn Nets
8,2025-03-22,BKN @ IND,L,103,11,37,0.433,20,14,6,1,2024-25,Brooklyn Nets,0,0,0.0,IND,97.8,10.8,32.8,0.4058,22.6,16.2,8.0,3.8,44.599999999999994,1.3139534883720931,39.687239999999996,2025-03-20,2.0,0,False,85.60119348837208,Brooklyn Nets
9,2025-03-20,BKN @ IND,L,99,14,33,0.356,20,16,11,4,2024-25,Brooklyn Nets,0,0,0.0,IND,97.0,10.4,32.4,0.41340000000000005,21.4,15.0,7.8,3.6,43.8,1.3375,40.0998,2025-03-18,2.0,0,False,85.2373,Brooklyn Nets
10,2025-03-18,BKN @ BOS,L,96,8,31,0.409,21,8,9,2,2024-25,Brooklyn Nets,0,0,1.0,BOS,104.2,10.8,31.4,0.4378,24.8,14.2,8.0,2.8,42.2,1.6315789473684212,45.61876,2025-03-16,2.0,0,False,89.45033894736844,Brooklyn Nets
11,2025-03-16,BKN vs. ATL,W,122,12,28,0.478,33,15,7,5,2024-25,Brooklyn Nets,1,1,1.0,ATL,106.6,12.6,31.2,0.4286,25.6,12.4,7.4,3.0,41.6,1.9104477611940298,45.688759999999995,2025-03-15,1.0,1,False,89.19920776119403,Brooklyn Nets
12,2025-03-15,BKN vs. BOS,L,113,18,27,0.467,34,9,4,3,2024-25,Brooklyn Nets,1,0,1.0,BOS,108.0,13.4,30.8,0.4316,28.0,11.4,7.4,4.2,42.400000000000006,2.258064516129032,46.6128,2025-03-13,2.0,0,False,91.27086451612904,Brooklyn Nets
13,2025-03-13,BKN @ CHI,L,110,15,35,0.448,32,9,6,7,2024-25,Brooklyn Nets,0,0,1.0,CHI,109.0,12.2,30.2,0.4532,30.2,10.6,7.0,4.0,41.2,2.603448275862069,49.3988,2025-03-11,2.0,0,False,93.20224827586208,Brooklyn Nets
14,2025-03-11,BKN @ CLE,L,104,8,30,0.464,31,12,9,3,2024-25,Brooklyn Nets,0,0,2.0,CLE,112.0,13.8,30.2,0.45359999999999995,30.4,10.4,7.2,4.8,42.2,2.6666666666666665,50.8032,2025-03-10,1.0,1,True,95.66986666666666,Brooklyn Nets
15,2025-03-10,BKN vs. LAL,W,111,16,31,0.411,22,7,10,6,2024-25,Brooklyn Nets,1,1,1.0,LAL,108.0,13.0,30.4,0.4506,27.8,9.6,7.0,5.8,43.2,2.6226415094339623,48.6648,2025-03-08,2.0,0,False,94.48744150943396,Brooklyn Nets
16,2025-03-08,BKN @ CHA,L,102,8,29,0.463,20,11,6,10,2024-25,Brooklyn Nets,0,0,1.0,CHA,109.2,11.0,29.8,0.4584,27.0,10.0,7.6,6.2,43.6,2.4545454545454546,50.05728,2025-03-06,2.0,0,False,96.11182545454545,Brooklyn Nets
17,2025-03-06,BKN vs. GSW,L,119,8,24,0.506,30,11,7,5,2024-25,Brooklyn Nets,1,0,1.0,GSW,109.8,10.2,28.6,0.45940000000000003,26.4,10.8,8.0,5.2,41.8,2.23728813559322,50.44212,2025-03-04,2.0,0,False,94.47940813559322,Brooklyn Nets
18,2025-03-04,BKN @ SAS,L,113,11,29,0.453,29,13,8,2,2024-25,Brooklyn Nets,0,0,1.0,SAS,107.8,11.4,27.4,0.4276,24.0,10.8,8.6,6.2,42.2,2.0338983050847457,46.095279999999995,2025-03-01,3.0,0,False,90.32917830508475,Brooklyn Nets
19,2025-03-01,BKN @ DET,L,94,14,24,0.305,19,12,12,8,2024-25,Brooklyn Nets,0,0,0.0,DET,106.0,12.4,26.0,0.4282,23.6,13.6,9.2,5.4,40.6,1.6164383561643838,45.3892,2025-02-28,1.0,1,True,87.60563835616439,Brooklyn Nets
20,2025-02-28,BKN vs. POR,L,102,21,24,0.414,20,21,13,2,2024-25,Brooklyn Nets,1,0,0.0,POR,109.8,14.4,25.8,0.41739999999999994,25.8,14.2,9.4,4.4,39.6,1.6973684210526316,45.83051999999999,2025-02-26,2.0,0,False,87.12788842105263,Brooklyn Nets
21,2025-02-26,BKN vs. OKC,L,121,18,28,0.409,31,14,7,5,2024-25,Brooklyn Nets,1,0,0.0,OKC,105.8,16.0,25.6,0.3948,24.8,15.0,11.2,4.2,41.0,1.55,41.769839999999995,2025-02-24,2.0,0,False,84.31984,Brooklyn Nets
22,2025-02-24,BKN @ WAS,L,99,16,23,0.393,25,15,16,4,2024-25,Brooklyn Nets,0,0,1.0,WAS,104.2,15.6,25.8,0.40540000000000004,24.4,15.6,11.6,5.4,42.8,1.469879518072289,42.24268000000001,2025-02-22,2.0,0,False,86.5125595180723,Brooklyn Nets
23,2025-02-22,BKN @ PHI,W,105,9,30,0.506,27,16,10,8,2024-25,Brooklyn Nets,0,1,1.0,PHI,104.8,15.6,27.2,0.4244,25.6,16.2,10.6,5.8,43.599999999999994,1.488372093023256,44.47712,2025-02-20,2.0,0,False,89.56549209302325,Brooklyn Nets
24,2025-02-20,BKN vs. CLE,L,97,14,31,0.4,25,15,7,10,2024-25,Brooklyn Nets,1,0,2.0,CLE,104.4,14.6,29.2,0.4358000000000001,26.2,15.2,10.6,6.8,46.599999999999994,1.617283950617284,45.49752000000001,2025-02-12,8.0,0,False,93.7148039506173,Brooklyn Nets
25,2025-02-12,BKN vs. PHI,W,100,16,34,0.471,23,16,13,7,2024-25,Brooklyn Nets,1,1,3.0,PHI,99.6,14.8,29.2,0.43360000000000004,24.8,15.6,11.2,7.0,47.4,1.4939759036144578,43.18656,2025-02-10,2.0,0,False,92.08053590361445,Brooklyn Nets
26,2025-02-10,BKN vs. CHA,W,97,19,28,0.398,24,16,10,6,2024-25,Brooklyn Nets,1,1,4.0,CHA,100.2,15.2,32.4,0.43879999999999997,23.2,15.4,9.6,8.8,50.8,1.4146341463414636,43.96776,2025-02-07,3.0,0,False,96.18239414634147,Brooklyn Nets
27,2025-02-07,BKN vs. MIA,W,102,18,39,0.419,17,14,8,13,2024-25,Brooklyn Nets,1,1,3.0,MIA,99.6,15.8,31.4,0.4244,23.0,14.2,9.0,7.8,48.2,1.5131578947368423,42.270239999999994,2025-02-05,2.0,0,False,91.98339789473684,Brooklyn Nets
28,2025-02-05,BKN vs. WAS,L,102,12,25,0.434,26,10,7,3,2024-25,Brooklyn Nets,1,0,4.0,WAS,100.0,15.0,31.0,0.437,23.2,13.8,9.6,7.6,48.2,1.5675675675675675,43.7,2025-02-04,1.0,1,False,93.46756756756757,Brooklyn Nets
