,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,CHA vs. MEM,L,100,6,32,0.457,22,15,3,4,2024-25,Charlotte Hornets,1,0,0.0,MEM,98.6,10.0,33.6,0.4282,23.6,16.0,6.4,3.4,43.400000000000006,1.3882352941176472,42.22052,2025-04-06,2.0,0,False,87.00875529411766,Charlotte Hornets
1,2025-04-06,CHA vs. CHI,L,117,9,31,0.482,25,12,7,2,2024-25,Charlotte Hornets,1,0,0.0,CHI,101.8,8.6,33.8,0.43260000000000004,22.4,15.0,4.8,3.0,41.599999999999994,1.4,44.03868,2025-04-04,2.0,0,False,87.03868,Charlotte Hornets
2,2025-04-04,CHA vs. SAC,L,102,11,34,0.398,17,12,2,2,2024-25,Charlotte Hornets,1,0,0.0,SAC,104.0,8.0,33.6,0.46040000000000003,21.4,15.2,4.0,2.6,40.2,1.3209876543209875,47.881600000000006,2025-04-02,2.0,0,False,89.402587654321,Charlotte Hornets
3,2025-04-02,CHA @ IND,L,105,9,35,0.526,20,18,3,2,2024-25,Charlotte Hornets,0,0,1.0,IND,106.8,9.0,33.8,0.48020000000000007,23.4,15.0,3.6,3.0,40.4,1.4625,51.285360000000004,2025-03-31,2.0,0,False,93.14786000000001,Charlotte Hornets
4,2025-03-31,CHA vs. UTA,W,110,10,37,0.538,33,18,3,5,2024-25,Charlotte Hornets,1,1,1.0,UTA,105.6,10.2,35.0,0.45920000000000005,23.0,14.8,6.0,3.4,44.4,1.4556962025316456,48.49152,2025-03-30,1.0,1,False,94.34721620253165,Charlotte Hornets
5,2025-03-30,CHA @ NOP,L,94,12,38,0.352,20,14,15,6,2024-25,Charlotte Hornets,0,0,1.0,NOP,101.6,11.0,37.4,0.44400000000000006,23.8,15.8,5.6,4.0,47.0,1.4166666666666667,45.110400000000006,2025-03-28,2.0,0,False,93.52706666666667,Charlotte Hornets
6,2025-03-28,CHA @ TOR,L,97,13,43,0.406,29,17,5,5,2024-25,Charlotte Hornets,0,0,1.0,TOR,102.0,10.4,36.6,0.4484,25.6,15.6,6.0,4.2,46.8,1.542168674698795,45.7368,2025-03-25,3.0,0,False,94.07896867469879,Charlotte Hornets
7,2025-03-25,CHA vs. ORL,L,104,8,30,0.42,26,11,4,3,2024-25,Charlotte Hornets,1,0,1.0,ORL,102.0,11.0,35.2,0.43740000000000007,26.4,15.8,6.4,4.6,46.2,1.5714285714285712,44.61480000000001,2025-03-23,2.0,0,False,92.38622857142857,Charlotte Hornets
8,2025-03-23,CHA @ MIA,L,105,12,28,0.471,24,19,5,4,2024-25,Charlotte Hornets,0,0,0.0,MIA,101.2,10.2,32.4,0.4224,25.6,15.4,7.0,4.4,43.8,1.5609756097560978,42.746880000000004,2025-03-21,2.0,0,False,88.1078556097561,Charlotte Hornets
9,2025-03-21,CHA @ OKC,L,106,6,23,0.463,29,16,6,4,2024-25,Charlotte Hornets,0,0,1.0,OKC,105.4,10.0,33.0,0.44980000000000003,26.6,14.8,4.2,3.8,41.0,1.6835443037974684,47.40892000000001,2025-03-20,1.0,1,True,90.09246430379747,Charlotte Hornets
