,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,CHI @ CLE,L,113,12,33,0.477,26,20,9,3,2024-25,Chicago Bulls,0,0,4.0,CLE,120.8,11.8,37.2,0.4894,29.2,14.4,8.6,4.4,50.2,1.896103896103896,59.11952,2025-04-06,2.0,0,False,111.21562389610389,Chicago Bulls
1,2025-04-06,CHI @ CHA,W,131,9,32,0.535,26,12,8,1,2024-25,Chicago Bulls,0,1,4.0,CHA,120.0,11.0,38.4,0.49240000000000006,28.4,15.4,7.0,5.2,50.599999999999994,1.7317073170731707,59.08800000000001,2025-04-04,2.0,0,False,111.41970731707318,Chicago Bulls
2,2025-04-04,CHI vs. POR,W,118,11,50,0.471,25,17,2,8,2024-25,Chicago Bulls,1,1,4.0,POR,123.6,10.4,38.0,0.5136,29.2,15.4,7.4,4.2,49.6,1.7804878048780488,63.48095999999999,2025-04-01,3.0,0,False,114.86144780487804,Chicago Bulls
3,2025-04-01,CHI vs. TOR,W,137,10,39,0.568,36,12,10,2,2024-25,Chicago Bulls,1,1,3.0,TOR,123.2,10.4,37.4,0.5,28.4,16.0,7.2,4.2,48.8,1.6705882352941175,61.6,2025-03-31,1.0,1,False,112.07058823529411,Chicago Bulls
4,2025-03-31,CHI @ OKC,L,117,10,33,0.449,29,19,7,7,2024-25,Chicago Bulls,0,0,3.0,OKC,124.4,10.4,39.6,0.4992,29.4,15.8,6.2,4.2,50.0,1.7499999999999998,62.10048,2025-03-29,2.0,0,False,113.85048,Chicago Bulls
5,2025-03-29,CHI vs. DAL,L,119,12,44,0.473,31,19,4,3,2024-25,Chicago Bulls,1,0,3.0,DAL,122.0,10.8,40.6,0.4856,30.8,16.4,5.4,4.4,50.400000000000006,1.770114942528736,59.243199999999995,2025-03-27,2.0,0,False,111.41331494252873,Chicago Bulls
6,2025-03-27,CHI vs. LAL,W,119,11,37,0.467,33,15,4,2,2024-25,Chicago Bulls,1,1,3.0,LAL,124.2,11.0,36.8,0.4904,32.0,15.0,6.6,3.8,47.199999999999996,2.0,60.90768,2025-03-24,3.0,0,False,110.10767999999999,Chicago Bulls
7,2025-03-24,CHI @ DEN,W,129,12,31,0.495,31,10,8,5,2024-25,Chicago Bulls,0,1,3.0,DEN,126.0,11.0,35.4,0.4934,33.0,14.6,8.0,4.4,47.8,2.1153846153846154,62.1684,2025-03-22,2.0,0,False,112.08378461538462,Chicago Bulls
8,2025-03-22,CHI @ LAL,W,146,10,32,0.583,41,10,17,5,2024-25,Chicago Bulls,0,1,4.0,LAL,128.2,11.4,34.4,0.5082000000000001,33.6,13.2,8.4,3.4,46.2,2.366197183098592,65.15124,2025-03-20,2.0,0,False,113.7174371830986,Chicago Bulls
9,2025-03-20,CHI @ SAC,W,128,12,28,0.523,32,12,9,2,2024-25,Chicago Bulls,0,1,4.0,SAC,128.6,10.6,32.0,0.5224,33.2,12.0,9.0,4.4,45.4,2.553846153846154,67.18064,2025-03-19,1.0,1,True,115.13448615384615,Chicago Bulls
10,2025-03-19,CHI @ PHX,L,121,8,32,0.544,29,13,7,8,2024-25,Chicago Bulls,0,0,4.0,PHX,127.0,10.2,32.6,0.5156000000000001,32.4,10.8,10.6,4.6,47.8,2.7457627118644066,65.4812,2025-03-17,2.0,0,False,116.0269627118644,Chicago Bulls
11,2025-03-17,CHI @ UTA,W,111,9,40,0.433,29,9,12,3,2024-25,Chicago Bulls,0,1,3.0,UTA,124.0,8.8,32.6,0.509,31.0,10.8,10.2,4.6,47.4,2.6271186440677963,63.116,2025-03-15,2.0,0,False,113.1431186440678,Chicago Bulls
