,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,CLE vs. CHI,W,135,16,29,0.51,35,12,13,3,2024-25,Cleveland Cavaliers,1,1,2.0,CHI,117.2,14.2,35.4,0.46980000000000005,26.8,15.0,8.6,4.4,48.4,1.675,55.06056000000001,2025-04-06,2.0,0,False,105.13556,Cleveland Cavaliers
1,2025-04-06,CLE vs. SAC,L,113,13,26,0.523,31,16,11,5,2024-25,Cleveland Cavaliers,1,0,3.0,SAC,116.4,12.0,33.4,0.48740000000000006,28.8,13.8,8.6,3.4,45.4,1.9459459459459458,56.73336000000001,2025-04-04,2.0,0,False,104.07930594594595,Cleveland Cavaliers
2,2025-04-04,CLE @ SAS,W,114,7,37,0.471,31,15,6,4,2024-25,Cleveland Cavaliers,0,1,3.0,SAS,119.6,12.4,32.0,0.495,28.8,13.4,8.8,4.0,44.8,2.0,59.202,2025-04-02,2.0,0,False,106.002,Cleveland Cavaliers
3,2025-04-02,CLE vs. NYK,W,124,15,29,0.532,23,13,8,5,2024-25,Cleveland Cavaliers,1,1,4.0,NYK,122.6,12.2,31.2,0.5082,30.6,13.2,9.8,4.0,45.0,2.154929577464789,62.305319999999995,2025-03-30,3.0,0,False,109.4602495774648,Cleveland Cavaliers
4,2025-03-30,CLE vs. LAC,W,127,10,35,0.505,33,10,11,3,2024-25,Cleveland Cavaliers,1,1,3.0,LAC,120.0,11.2,31.4,0.49899999999999994,26.8,13.6,9.0,4.0,44.4,1.8356164383561644,59.879999999999995,2025-03-28,2.0,0,False,106.11561643835616,Cleveland Cavaliers
5,2025-03-28,CLE @ DET,L,122,11,30,0.464,16,14,9,3,2024-25,Cleveland Cavaliers,0,0,4.0,DET,122.2,11.4,34.6,0.48740000000000006,27.2,13.0,8.2,4.0,46.8,1.9428571428571428,59.560280000000006,2025-03-27,1.0,1,True,108.30313714285714,Cleveland Cavaliers
6,2025-03-27,CLE vs. SAS,W,124,14,42,0.465,33,13,7,5,2024-25,Cleveland Cavaliers,1,1,4.0,SAS,123.8,11.8,33.6,0.5022,26.6,12.2,7.8,4.4,45.8,2.0151515151515156,62.17236,2025-03-25,2.0,0,False,109.98751151515151,Cleveland Cavaliers
7,2025-03-25,CLE @ POR,W,122,9,32,0.545,28,11,4,6,2024-25,Cleveland Cavaliers,0,1,4.0,POR,123.0,11.6,35.2,0.48740000000000006,27.6,10.8,8.0,4.8,48.0,2.3389830508474576,59.95020000000001,2025-03-23,2.0,0,False,110.28918305084747,Cleveland Cavaliers
8,2025-03-23,CLE @ UTA,W,120,14,37,0.458,28,6,9,7,2024-25,Cleveland Cavaliers,0,1,3.0,UTA,120.0,12.8,33.8,0.4758000000000001,25.8,11.0,8.0,5.2,47.0,2.15,57.09600000000001,2025-03-21,2.0,0,False,106.24600000000001,Cleveland Cavaliers
9,2025-03-21,CLE @ PHX,L,112,16,28,0.447,24,11,11,5,2024-25,Cleveland Cavaliers,0,0,3.0,PHX,119.4,12.2,33.6,0.49260000000000004,27.4,10.6,7.6,4.8,46.0,2.3620689655172415,58.81644000000001,2025-03-19,2.0,0,False,107.17850896551724,Cleveland Cavaliers
10,2025-03-19,CLE @ SAC,L,119,8,29,0.548,24,12,7,1,2024-25,Cleveland Cavaliers,0,0,2.0,SAC,118.4,11.4,29.0,0.4974,26.6,9.6,7.4,3.8,40.2,2.509433962264151,58.892160000000004,2025-03-18,1.0,1,True,101.60159396226416,Cleveland Cavaliers
11,2025-03-18,CLE @ LAC,L,119,10,19,0.489,29,8,6,0,2024-25,Cleveland Cavaliers,0,0,1.0,LAC,114.6,12.8,29.0,0.4718,25.2,10.0,8.0,2.8,39.8,2.290909090909091,54.068279999999994,2025-03-16,2.0,0,False,96.15918909090908,Cleveland Cavaliers
12,2025-03-16,CLE vs. ORL,L,103,16,32,0.417,21,13,7,1,2024-25,Cleveland Cavaliers,1,0,1.0,ORL,117.2,11.6,28.6,0.48019999999999996,26.0,11.8,8.0,2.2,38.8,2.03125,56.279439999999994,2025-03-14,2.0,0,False,97.11068999999999,Cleveland Cavaliers
13,2025-03-14,CLE @ MEM,W,133,8,35,0.5,32,15,9,4,2024-25,Cleveland Cavaliers,0,1,2.0,MEM,116.6,10.8,30.2,0.4784,25.8,12.4,7.2,2.0,39.4,1.9253731343283582,55.781439999999996,2025-03-11,3.0,0,False,97.10681313432835,Cleveland Cavaliers
14,2025-03-11,CLE vs. BKN,W,109,12,36,0.438,23,14,7,4,2024-25,Cleveland Cavaliers,1,1,3.0,BKN,115.2,11.8,30.6,0.4574,26.0,13.0,8.0,2.2,40.8,1.8571428571428572,52.692479999999996,2025-03-09,2.0,0,False,95.34962285714285,Cleveland Cavaliers
15,2025-03-09,CLE @ MIL,W,112,13,31,0.443,25,15,11,2,2024-25,Cleveland Cavaliers,0,1,4.0,MIL,115.0,11.6,34.0,0.4438,23.4,14.0,8.2,3.0,45.2,1.5599999999999998,51.037,2025-03-07,2.0,0,False,97.797,Cleveland Cavaliers
16,2025-03-07,CLE @ CHA,W,118,9,36,0.421,16,13,7,4,2024-25,Cleveland Cavaliers,0,1,5.0,CHA,116.8,10.4,35.0,0.4546,24.4,14.0,8.2,3.6,46.8,1.6266666666666665,53.09728,2025-03-05,2.0,0,False,101.52394666666666,Cleveland Cavaliers
17,2025-03-05,CLE vs. MIA,W,112,10,37,0.471,26,13,7,4,2024-25,Cleveland Cavaliers,1,1,5.0,MIA,118.0,11.0,36.4,0.4484,23.4,12.6,7.2,3.6,47.2,1.7205882352941175,52.9112,2025-03-04,1.0,1,False,101.83178823529411,Cleveland Cavaliers
18,2025-03-04,CLE @ CHI,W,139,11,42,0.469,27,8,4,4,2024-25,Cleveland Cavaliers,0,1,5.0,CHI,122.8,11.2,36.0,0.4474,24.2,12.4,8.2,3.8,48.0,1.8059701492537312,54.94072,2025-03-02,2.0,0,False,104.74669014925374,Cleveland Cavaliers
19,2025-03-02,CLE vs. POR,W,133,13,34,0.433,27,13,12,5,2024-25,Cleveland Cavaliers,1,1,5.0,POR,125.0,11.4,35.8,0.45459999999999995,23.8,10.8,6.8,4.0,46.599999999999994,2.016949152542373,56.824999999999996,2025-02-28,2.0,0,False,105.44194915254236,Cleveland Cavaliers
20,2025-02-28,CLE @ BOS,W,123,14,30,0.479,23,7,4,3,2024-25,Cleveland Cavaliers,0,1,5.0,BOS,125.8,11.4,36.2,0.483,25.6,10.4,6.4,4.2,46.800000000000004,2.245614035087719,60.761399999999995,2025-02-25,3.0,0,False,109.80701403508772,Cleveland Cavaliers
21,2025-02-25,CLE @ ORL,W,122,9,38,0.563,25,11,5,5,2024-25,Cleveland Cavaliers,0,1,5.0,ORL,129.2,13.8,35.8,0.48179999999999995,25.4,10.6,6.0,4.4,46.199999999999996,2.189655172413793,62.24855999999999,2025-02-23,2.0,0,False,110.63821517241378,Cleveland Cavaliers
22,2025-02-23,CLE vs. MEM,W,129,22,35,0.465,25,14,5,5,2024-25,Cleveland Cavaliers,1,1,5.0,MEM,129.8,13.8,34.6,0.5098,27.6,12.0,7.6,4.0,46.2,2.123076923076923,66.17204000000001,2025-02-21,2.0,0,False,114.49511692307694,Cleveland Cavaliers
23,2025-02-21,CLE vs. NYK,W,142,11,36,0.609,38,15,12,2,2024-25,Cleveland Cavaliers,1,1,5.0,NYK,125.2,14.6,34.8,0.5084000000000001,26.0,12.6,6.8,4.0,45.599999999999994,1.911764705882353,63.65168000000001,2025-02-20,1.0,1,False,111.16344470588237,Cleveland Cavaliers
24,2025-02-20,CLE @ BKN,W,110,17,35,0.426,19,16,8,5,2024-25,Cleveland Cavaliers,0,1,5.0,BKN,126.8,14.4,36.8,0.5096,28.2,13.8,8.2,4.2,49.199999999999996,1.9054054054054053,64.61728000000001,2025-02-12,8.0,0,False,115.7226854054054,Cleveland Cavaliers
25,2025-02-12,CLE @ TOR,W,131,13,40,0.485,34,13,11,4,2024-25,Cleveland Cavaliers,0,1,5.0,TOR,128.0,15.4,36.2,0.4992,28.6,14.8,9.2,4.2,49.6,1.8101265822784811,63.8976,2025-02-10,2.0,0,False,115.30772658227848,Cleveland Cavaliers
26,2025-02-10,CLE vs. MIN,W,128,14,35,0.511,27,16,10,5,2024-25,Cleveland Cavaliers,1,1,5.0,MIN,129.0,14.0,35.4,0.5084000000000001,30.0,14.8,10.0,3.8,49.2,1.8987341772151898,65.5836,2025-02-07,3.0,0,False,116.6823341772152,Cleveland Cavaliers
27,2025-02-07,CLE @ WAS,W,134,15,31,0.511,32,14,9,3,2024-25,Cleveland Cavaliers,0,1,5.0,WAS,124.2,14.0,35.2,0.483,28.0,16.4,8.8,4.8,48.800000000000004,1.6091954022988506,59.9886,2025-02-05,2.0,0,False,110.39779540229885,Cleveland Cavaliers
28,2025-02-05,CLE @ DET,W,118,11,35,0.482,28,23,6,7,2024-25,Cleveland Cavaliers,0,1,4.0,DET,123.2,13.4,35.6,0.477,27.8,15.8,8.4,4.0,48.0,1.6547619047619047,58.7664,2025-02-04,1.0,1,True,108.4211619047619,Cleveland Cavaliers
29,2025-02-04,CLE vs. BOS,L,105,14,37,0.396,18,13,6,1,2024-25,Cleveland Cavaliers,1,0,4.0,BOS,125.8,11.4,37.2,0.49399999999999994,28.8,14.8,7.6,4.8,49.6,1.8227848101265822,62.14519999999999,2025-02-02,2.0,0,False,113.56798481012657,Cleveland Cavaliers
30,2025-02-02,CLE vs. DAL,W,144,3,48,0.57,39,8,7,8,2024-25,Cleveland Cavaliers,1,1,4.0,DAL,127.6,10.6,38.0,0.5082,30.2,13.8,7.4,4.4,49.8,2.0405405405405403,64.84631999999999,2025-01-30,3.0,0,False,116.68686054054052,Cleveland Cavaliers
31,2025-01-30,CLE vs. ATL,W,137,10,39,0.582,34,11,9,3,2024-25,Cleveland Cavaliers,1,1,4.0,ATL,126.0,10.2,38.6,0.514,29.6,12.4,7.6,4.2,50.400000000000006,2.208955223880597,64.764,2025-01-29,1.0,1,False,117.3729552238806,Cleveland Cavaliers
