,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-05,DAL @ LAC,L,104,10,31,0.436,18,15,5,8,2024-25,Dallas Mavericks,0,0,1.0,LAC,102.6,9.4,33.0,0.4758,24.2,17.2,6.4,5.4,44.8,1.3296703296703296,48.81708,2025-04-04,1.0,1,True,94.94675032967032,Dallas Mavericks
1,2025-04-04,DAL @ LAC,L,91,6,33,0.455,19,17,7,0,2024-25,Dallas Mavericks,0,0,2.0,LAC,107.2,8.2,35.0,0.4944,25.6,16.2,6.6,6.4,48.0,1.488372093023256,52.999680000000005,2025-04-02,2.0,0,False,102.48805209302327,Dallas Mavericks
2,2025-04-02,DAL vs. ATL,W,120,4,38,0.53,27,13,7,8,2024-25,Dallas Mavericks,1,1,1.0,ATL,104.2,8.2,33.6,0.4796,24.6,14.4,5.8,5.0,44.400000000000006,1.5974025974025974,49.974320000000006,2025-03-31,2.0,0,False,95.97172259740262,Dallas Mavericks
3,2025-03-31,DAL vs. BKN,L,109,12,37,0.477,29,8,4,3,2024-25,Dallas Mavericks,1,0,2.0,BKN,108.8,8.0,34.4,0.4726,24.2,11.8,6.4,5.4,46.2,1.8906249999999998,51.41888,2025-03-29,2.0,0,False,99.509505,Dallas Mavericks
4,2025-03-29,DAL @ CHI,W,120,8,33,0.465,28,6,9,8,2024-25,Dallas Mavericks,0,1,3.0,CHI,108.2,7.0,35.2,0.48020000000000007,24.8,11.6,7.4,4.0,46.6,1.9682539682539684,51.95764000000001,2025-03-27,2.0,0,False,100.52589396825398,Dallas Mavericks
5,2025-03-27,DAL @ ORL,W,101,5,35,0.474,21,14,10,1,2024-25,Dallas Mavericks,0,1,3.0,ORL,112.6,6.8,34.2,0.4968,24.8,11.4,7.8,4.6,46.6,2.0,55.93968,2025-03-25,2.0,0,False,104.53968,Dallas Mavericks
6,2025-03-25,DAL @ NYK,L,113,5,28,0.538,19,16,9,3,2024-25,Dallas Mavericks,0,0,3.0,NYK,112.6,8.2,32.6,0.5034000000000001,26.2,10.8,8.4,3.2,44.2,2.2203389830508473,56.682840000000006,2025-03-24,1.0,1,True,103.10317898305085,Dallas Mavericks
7,2025-03-24,DAL @ BKN,W,120,11,30,0.563,34,10,10,1,2024-25,Dallas Mavericks,0,1,4.0,BKN,115.4,7.8,32.0,0.5130000000000001,25.4,13.2,9.6,4.0,45.6,1.7887323943661972,59.20020000000002,2025-03-21,3.0,0,False,106.58893239436622,Dallas Mavericks
8,2025-03-21,DAL vs. DET,W,123,10,34,0.525,25,20,10,7,2024-25,Dallas Mavericks,1,1,3.0,DET,117.6,7.6,32.2,0.529,24.4,14.4,9.0,2.4,43.6,1.5844155844155843,62.2104,2025-03-19,2.0,0,False,107.3948155844156,Dallas Mavericks
9,2025-03-19,DAL @ IND,L,131,7,34,0.545,23,12,6,0,2024-25,Dallas Mavericks,0,0,2.0,IND,122.4,8.6,32.2,0.54,25.4,14.6,7.8,2.8,42.800000000000004,1.6282051282051282,66.096,2025-03-16,3.0,0,False,110.52420512820514,Dallas Mavericks
10,2025-03-16,DAL vs. PHI,L,125,10,35,0.529,26,15,4,3,2024-25,Dallas Mavericks,1,0,2.0,PHI,119.0,8.8,32.2,0.5154,24.4,12.8,6.8,3.4,42.400000000000006,1.7681159420289854,61.3326,2025-03-14,2.0,0,False,105.50071594202899,Dallas Mavericks
11,2025-03-14,DAL @ HOU,L,96,6,28,0.415,14,7,4,6,2024-25,Dallas Mavericks,0,0,1.0,HOU,118.2,7.2,31.8,0.514,23.6,14.2,6.4,3.2,41.400000000000006,1.5526315789473686,60.7548,2025-03-12,2.0,0,False,103.70743157894738,Dallas Mavericks
12,2025-03-12,DAL @ SAS,L,116,3,28,0.556,30,17,8,0,2024-25,Dallas Mavericks,0,0,1.0,SAS,120.2,7.2,31.0,0.5158000000000001,23.6,12.2,5.4,2.2,38.6,1.787878787878788,61.99916000000002,2025-03-10,2.0,0,False,102.38703878787881,Dallas Mavericks
13,2025-03-10,DAL @ SAS,W,133,10,30,0.534,25,10,5,2,2024-25,Dallas Mavericks,0,1,1.0,SAS,117.2,6.8,29.6,0.5046000000000002,24.8,11.0,5.8,2.6,38.0,2.066666666666667,59.13912000000002,2025-03-09,1.0,1,True,99.20578666666668,Dallas Mavericks
14,2025-03-09,DAL vs. PHX,L,116,5,27,0.489,29,6,8,2,2024-25,Dallas Mavericks,1,0,1.0,PHX,114.4,7.0,29.4,0.4758,24.4,10.4,6.4,3.4,39.2,2.1403508771929824,54.431520000000006,2025-03-07,2.0,0,False,95.77187087719298,Dallas Mavericks
15,2025-03-07,DAL vs. MEM,L,111,11,34,0.385,24,12,7,7,2024-25,Dallas Mavericks,1,0,1.0,MEM,116.6,6.8,28.8,0.4846000000000001,27.6,11.0,8.2,2.8,39.8,2.3000000000000003,56.504360000000005,2025-03-05,2.0,0,False,98.60436,Dallas Mavericks
