,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-06,DEN vs. IND,L,120,9,38,0.538,33,13,2,7,2024-25,Denver Nuggets,1,0,3.0,IND,118.2,10.0,35.8,0.5147999999999999,30.2,13.2,6.6,4.8,47.199999999999996,2.126760563380282,60.84935999999999,2025-04-04,2.0,0,False,110.17612056338027,Denver Nuggets
1,2025-04-04,DEN @ GSW,L,104,7,31,0.541,28,25,8,4,2024-25,Denver Nuggets,0,0,2.0,GSW,114.2,10.6,37.4,0.4918,29.4,13.8,6.6,4.4,48.4,1.9864864864864864,56.163560000000004,2025-04-02,2.0,0,False,106.55004648648648,Denver Nuggets
2,2025-04-02,DEN vs. SAS,L,106,14,44,0.396,24,12,7,4,2024-25,Denver Nuggets,1,0,1.0,SAS,118.6,10.0,36.6,0.5044000000000001,29.6,14.6,6.2,5.4,48.2,1.8974358974358976,59.82184000000001,2025-04-01,1.0,1,False,109.91927589743591,Denver Nuggets
3,2025-04-01,DEN vs. MIN,L,139,8,37,0.547,33,16,7,7,2024-25,Denver Nuggets,1,0,1.0,MIN,119.6,9.4,37.2,0.52,31.2,16.8,7.2,7.0,51.400000000000006,1.7528089887640448,62.192,2025-03-28,4.0,0,False,115.34480898876404,Denver Nuggets
4,2025-03-28,DEN vs. UTA,W,129,9,36,0.578,38,18,12,13,2024-25,Denver Nuggets,1,1,2.0,UTA,121.0,9.2,37.2,0.5212000000000001,31.8,16.0,8.0,6.4,51.6,1.8705882352941177,63.06520000000001,2025-03-26,2.0,0,False,116.53578823529412,Denver Nuggets
5,2025-03-26,DEN vs. MIL,W,127,8,38,0.544,36,9,6,4,2024-25,Denver Nuggets,1,1,2.0,MIL,124.0,11.2,38.0,0.5078,33.0,13.4,7.4,7.4,52.8,2.2916666666666665,62.967200000000005,2025-03-24,2.0,0,False,118.05886666666666,Denver Nuggets
6,2025-03-24,DEN vs. CHI,L,119,17,35,0.474,34,12,5,9,2024-25,Denver Nuggets,1,0,3.0,CHI,126.0,10.4,35.8,0.5298,33.8,12.8,7.0,7.4,50.199999999999996,2.4492753623188404,66.7548,2025-03-23,1.0,1,False,119.40407536231885,Denver Nuggets
7,2025-03-23,DEN @ HOU,W,116,10,33,0.506,28,9,5,4,2024-25,Denver Nuggets,0,1,3.0,HOU,120.0,11.0,32.4,0.5204000000000001,32.0,13.6,7.6,6.4,46.4,2.191780821917808,62.44800000000001,2025-03-21,2.0,0,False,111.03978082191782,Denver Nuggets
8,2025-03-21,DEN @ POR,L,109,11,20,0.5,24,20,10,2,2024-25,Denver Nuggets,0,0,2.0,POR,115.8,11.6,31.8,0.499,29.4,13.6,6.8,4.6,43.2,2.0136986301369864,57.7842,2025-03-19,2.0,0,False,102.99789863013699,Denver Nuggets
9,2025-03-19,DEN @ LAL,L,108,12,33,0.471,25,18,8,4,2024-25,Denver Nuggets,0,0,2.0,LAL,113.2,13.8,31.0,0.4835999999999999,28.6,15.8,8.0,5.2,44.2,1.7023809523809523,54.74351999999999,2025-03-17,2.0,0,False,100.64590095238094,Denver Nuggets
10,2025-03-17,DEN @ GSW,W,114,19,34,0.467,32,20,12,7,2024-25,Denver Nuggets,0,1,2.0,GSW,114.0,12.4,30.4,0.48979999999999996,29.8,16.8,9.4,5.0,44.8,1.6741573033707864,55.837199999999996,2025-03-15,2.0,0,False,102.31135730337078,Denver Nuggets
11,2025-03-15,DEN vs. WAS,L,123,10,32,0.505,40,17,12,8,2024-25,Denver Nuggets,1,0,2.0,WAS,117.0,12.2,29.8,0.49219999999999997,30.2,17.4,9.8,5.2,44.8,1.6413043478260871,57.587399999999995,2025-03-14,1.0,1,False,104.02870434782608,Denver Nuggets
12,2025-03-14,DEN vs. LAL,W,131,9,30,0.518,30,12,7,5,2024-25,Denver Nuggets,1,1,2.0,LAL,114.2,12.4,31.8,0.473,29.4,15.4,9.6,5.6,47.0,1.7926829268292683,54.0166,2025-03-12,2.0,0,False,102.80928292682927,Denver Nuggets
13,2025-03-12,DEN vs. MIN,L,95,12,30,0.404,20,10,9,4,2024-25,Denver Nuggets,1,0,3.0,MIN,120.6,11.8,32.0,0.4998,30.8,14.2,9.2,5.8,47.0,2.0263157894736845,60.27588,2025-03-10,2.0,0,False,109.30219578947369,Denver Nuggets
14,2025-03-10,DEN @ OKC,W,140,9,34,0.605,32,12,6,5,2024-25,Denver Nuggets,0,1,2.0,OKC,118.4,10.8,32.0,0.4888,28.8,11.6,7.4,5.6,45.0,2.285714285714286,57.873920000000005,2025-03-09,1.0,1,True,105.15963428571429,Denver Nuggets
15,2025-03-09,DEN @ OKC,L,103,14,34,0.412,22,7,3,6,2024-25,Denver Nuggets,0,0,3.0,OKC,123.6,10.4,31.6,0.5054000000000001,29.8,10.0,6.6,4.6,42.8,2.709090909090909,62.46744,2025-03-07,2.0,0,False,107.97653090909091,Denver Nuggets
16,2025-03-07,DEN vs. PHX,W,149,8,30,0.588,45,9,8,3,2024-25,Denver Nuggets,1,1,3.0,PHX,120.6,10.8,32.6,0.49380000000000007,29.4,10.2,6.2,5.2,44.0,2.625,59.55228,2025-03-05,2.0,0,False,106.17728,Denver Nuggets
17,2025-03-05,DEN vs. SAC,W,116,11,35,0.46,28,13,5,8,2024-25,Denver Nuggets,1,1,3.0,SAC,122.2,10.0,32.6,0.5084,30.8,10.4,6.6,4.8,44.0,2.7017543859649122,62.126479999999994,2025-03-02,3.0,0,False,108.8282343859649,Denver Nuggets
18,2025-03-02,DEN @ BOS,L,103,8,30,0.477,27,11,11,2,2024-25,Denver Nuggets,0,0,3.0,BOS,121.0,10.2,33.8,0.49939999999999996,30.0,11.8,6.4,5.4,45.599999999999994,2.34375,60.42739999999999,2025-02-28,2.0,0,False,108.37114999999999,Denver Nuggets
19,2025-02-28,DEN @ DET,W,134,10,40,0.56,28,19,5,8,2024-25,Denver Nuggets,0,1,3.0,DET,122.8,10.2,35.2,0.5065999999999999,31.2,13.0,7.4,4.6,47.2,2.2285714285714286,62.21047999999999,2025-02-27,1.0,1,True,111.63905142857142,Denver Nuggets
20,2025-02-27,DEN @ MIL,L,112,14,41,0.448,28,13,8,2,2024-25,Denver Nuggets,0,0,3.0,MIL,118.0,11.4,35.6,0.5018,30.0,15.0,7.4,4.8,47.8,1.875,59.2124,2025-02-24,3.0,0,False,108.8874,Denver Nuggets
21,2025-02-24,DEN @ IND,W,125,14,32,0.564,39,19,8,4,2024-25,Denver Nuggets,0,1,2.0,IND,114.8,11.6,35.2,0.48980000000000007,30.0,16.4,7.6,3.4,46.2,1.7241379310344829,56.229040000000005,2025-02-22,2.0,0,False,104.15317793103449,Denver Nuggets
22,2025-02-22,DEN vs. LAL,L,100,12,33,0.4,28,20,6,1,2024-25,Denver Nuggets,1,0,3.0,LAL,120.0,13.2,37.0,0.4944,30.4,16.8,6.0,3.6,46.6,1.7078651685393258,59.328,2025-02-20,2.0,0,False,107.63586516853934,Denver Nuggets
23,2025-02-20,DEN vs. CHA,W,129,16,39,0.5,29,13,3,3,2024-25,Denver Nuggets,1,1,3.0,CHA,119.6,13.6,36.4,0.48440000000000005,30.0,15.4,6.8,3.4,46.599999999999994,1.829268292682927,57.93424,2025-02-12,8.0,0,False,106.36350829268292,Denver Nuggets
24,2025-02-12,DEN vs. POR,W,132,12,37,0.51,26,12,9,7,2024-25,Denver Nuggets,1,1,4.0,POR,126.4,12.0,34.6,0.5266,33.2,14.4,7.6,3.4,45.6,2.155844155844156,66.56224,2025-02-10,2.0,0,False,114.31808415584416,Denver Nuggets
25,2025-02-10,DEN vs. POR,W,146,6,32,0.659,44,8,12,2,2024-25,Denver Nuggets,1,1,4.0,POR,125.8,12.2,36.4,0.5115999999999999,31.0,12.4,7.0,3.4,46.8,2.3134328358208953,64.35928,2025-02-08,2.0,0,False,113.47271283582089,Denver Nuggets
