,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,GSW @ PHX,W,133,19,38,0.484,31,15,14,3,2024-25,Golden State Warriors,0,1,2.0,PHX,112.4,12.0,31.6,0.45220000000000005,29.0,14.8,12.0,4.0,47.6,1.8354430379746836,50.82728000000001,2025-04-06,2.0,0,False,100.2627230379747,Golden State Warriors
1,2025-04-06,GSW vs. HOU,L,96,15,31,0.416,28,20,12,2,2024-25,Golden State Warriors,1,0,3.0,HOU,112.2,13.6,32.2,0.4412,27.8,14.4,12.6,3.2,48.0,1.8051948051948052,49.50264,2025-04-04,2.0,0,False,99.3078348051948,Golden State Warriors
2,2025-04-04,GSW vs. DEN,W,118,11,25,0.489,25,13,14,2,2024-25,Golden State Warriors,1,1,3.0,DEN,116.2,15.0,31.0,0.4568,28.6,14.2,10.6,2.2,43.8,1.8815789473684212,53.08016,2025-04-03,1.0,1,False,98.76173894736843,Golden State Warriors
3,2025-04-03,GSW @ LAL,W,123,14,32,0.476,30,13,5,2,2024-25,Golden State Warriors,0,1,4.0,LAL,120.8,14.8,32.0,0.45780000000000004,28.6,14.4,11.2,2.4,45.6,1.8571428571428572,55.302240000000005,2025-04-01,2.0,0,False,102.75938285714287,Golden State Warriors
4,2025-04-01,GSW @ MEM,W,134,15,34,0.424,29,11,11,3,2024-25,Golden State Warriors,0,1,4.0,MEM,123.8,13.0,31.2,0.47639999999999993,30.8,13.8,11.8,2.4,45.4,2.081081081081081,58.97831999999999,2025-03-30,2.0,0,False,106.45940108108107,Golden State Warriors
5,2025-03-30,GSW @ SAS,W,148,10,34,0.577,42,12,17,3,2024-25,Golden State Warriors,0,1,5.0,SAS,126.8,13.6,31.4,0.4758,31.0,11.8,11.4,2.2,45.0,2.421875,60.33144,2025-03-28,2.0,0,False,107.753315,Golden State Warriors
6,2025-03-28,GSW @ NOP,W,111,18,32,0.413,29,10,10,1,2024-25,Golden State Warriors,0,1,4.0,NOP,120.4,14.2,31.2,0.45759999999999995,30.0,11.6,10.2,2.0,43.4,2.380952380952381,55.09504,2025-03-25,3.0,0,False,100.87599238095237,Golden State Warriors
7,2025-03-25,GSW @ MIA,L,86,14,24,0.398,20,12,8,1,2024-25,Golden State Warriors,0,0,3.0,MIA,118.8,12.6,31.2,0.45519999999999994,29.6,10.8,10.8,2.4,44.4,2.5084745762711864,54.07775999999999,2025-03-22,3.0,0,False,100.98623457627117,Golden State Warriors
8,2025-03-22,GSW @ ATL,L,115,6,32,0.464,28,9,8,4,2024-25,Golden State Warriors,0,0,3.0,ATL,115.4,11.8,29.8,0.4548,29.8,11.4,11.2,2.8,43.8,2.403225806451613,52.48392,2025-03-20,2.0,0,False,98.68714580645161,Golden State Warriors
9,2025-03-20,GSW vs. TOR,W,117,11,27,0.422,30,14,13,5,2024-25,Golden State Warriors,1,1,3.0,TOR,106.6,11.6,31.6,0.4226,26.4,12.6,9.2,3.4,44.2,1.9411764705882353,45.04915999999999,2025-03-18,2.0,0,False,91.19033647058822,Golden State Warriors
