,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,IND vs. WAS,W,104,13,36,0.379,21,7,7,5,2024-25,Indiana Pacers,1,1,4.0,WAS,116.8,12.2,36.0,0.4344,26.8,10.4,8.6,8.0,52.6,2.3508771929824563,50.73792,2025-04-06,2.0,0,False,105.68879719298246,Indiana Pacers
1,2025-04-06,IND @ DEN,W,125,7,34,0.479,34,6,10,7,2024-25,Indiana Pacers,0,1,4.0,DEN,119.6,11.6,34.6,0.46840000000000004,29.0,9.2,7.2,9.4,51.2,2.843137254901961,56.02064,2025-04-04,2.0,0,False,110.06377725490196,Indiana Pacers
2,2025-04-04,IND vs. UTA,W,140,11,40,0.573,38,7,8,17,2024-25,Indiana Pacers,1,1,5.0,UTA,120.4,10.4,34.6,0.47759999999999997,30.0,7.0,7.6,9.2,51.4,3.75,57.50304,2025-04-02,2.0,0,False,112.65304,Indiana Pacers
3,2025-04-02,IND vs. CHA,W,119,11,27,0.495,29,6,10,6,2024-25,Indiana Pacers,1,1,5.0,CHA,119.8,9.6,34.2,0.47859999999999997,30.0,7.6,8.2,8.0,50.400000000000006,3.488372093023256,57.336279999999995,2025-03-31,2.0,0,False,111.22465209302325,Indiana Pacers
4,2025-03-31,IND vs. SAC,W,111,6,34,0.467,28,12,6,5,2024-25,Indiana Pacers,1,1,4.0,SAC,121.2,8.6,34.0,0.49239999999999995,31.2,8.4,8.0,8.2,50.2,3.3191489361702127,59.67887999999999,2025-03-29,2.0,0,False,113.1980289361702,Indiana Pacers
5,2025-03-29,IND @ OKC,L,111,8,35,0.448,27,11,6,6,2024-25,Indiana Pacers,0,0,4.0,OKC,128.6,9.8,34.6,0.5247999999999999,34.0,9.6,7.6,7.2,49.400000000000006,3.207547169811321,67.48928,2025-03-27,2.0,0,False,120.09682716981132,Indiana Pacers
6,2025-03-27,IND @ WAS,W,162,13,37,0.641,48,12,8,2,2024-25,Indiana Pacers,0,1,3.0,WAS,124.4,9.0,32.4,0.5114,32.6,10.0,7.8,4.6,44.8,2.963636363636364,63.618159999999996,2025-03-26,1.0,1,True,111.38179636363635,Indiana Pacers
7,2025-03-26,IND vs. LAL,L,119,7,29,0.506,31,9,9,4,2024-25,Indiana Pacers,1,0,3.0,LAL,124.4,8.6,34.4,0.5102,32.8,11.0,7.6,4.4,46.4,2.733333333333333,63.46888,2025-03-24,2.0,0,False,112.60221333333334,Indiana Pacers
8,2025-03-24,IND vs. MIN,W,119,9,37,0.489,30,11,9,5,2024-25,Indiana Pacers,1,1,3.0,MIN,123.8,8.6,35.2,0.512,33.6,11.2,7.4,4.6,47.2,2.754098360655738,63.3856,2025-03-22,2.0,0,False,113.33969836065575,Indiana Pacers
9,2025-03-22,IND vs. BKN,W,108,6,38,0.476,32,13,5,6,2024-25,Indiana Pacers,1,1,4.0,BKN,122.6,9.0,37.6,0.5088,31.8,13.4,8.2,5.0,50.8,2.2083333333333335,62.37888,2025-03-20,2.0,0,False,115.38721333333334,Indiana Pacers
10,2025-03-20,IND vs. BKN,W,105,10,47,0.432,18,22,10,8,2024-25,Indiana Pacers,1,1,4.0,BKN,117.2,7.6,36.6,0.4904,28.0,13.2,7.4,5.6,49.6,1.971830985915493,57.47488,2025-03-19,1.0,1,False,109.0467109859155,Indiana Pacers
