,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,LAC vs. SAS,W,122,14,36,0.516,30,15,6,0,2024-25,Los Angeles Clippers,1,1,5.0,SAS,123.2,10.2,33.2,0.5366,28.2,12.0,8.8,2.2,44.2,2.169230769230769,66.10912,2025-04-05,3.0,0,False,112.47835076923079,Los Angeles Clippers
1,2025-04-05,LAC vs. DAL,W,135,10,35,0.563,31,6,11,3,2024-25,Los Angeles Clippers,1,1,5.0,DAL,121.2,10.6,34.0,0.5238,27.2,11.4,8.8,2.4,45.2,2.193548387096774,63.48456000000001,2025-04-04,1.0,1,False,110.87810838709679,Los Angeles Clippers
2,2025-04-04,LAC vs. DAL,W,114,11,37,0.494,23,13,11,4,2024-25,Los Angeles Clippers,1,1,5.0,DAL,123.8,9.6,33.6,0.5264,28.8,11.0,9.4,2.8,45.8,2.4,65.16832,2025-04-02,2.0,0,False,113.36831999999998,Los Angeles Clippers
3,2025-04-02,LAC vs. NOP,W,114,2,28,0.526,27,10,9,4,2024-25,Los Angeles Clippers,1,1,5.0,NOP,116.2,9.6,34.4,0.5075999999999999,25.8,12.0,9.8,3.2,47.4,1.9846153846153847,58.98311999999999,2025-03-31,2.0,0,False,108.36773538461537,Los Angeles Clippers
4,2025-03-31,LAC @ ORL,W,96,11,36,0.439,18,16,12,5,2024-25,Los Angeles Clippers,0,1,4.0,ORL,116.2,8.8,34.0,0.5012,24.8,11.4,9.8,4.0,47.8,2.0,58.23944,2025-03-30,1.0,1,True,108.03944,Los Angeles Clippers
5,2025-03-30,LAC @ CLE,L,122,10,34,0.484,25,12,6,4,2024-25,Los Angeles Clippers,0,0,4.0,CLE,115.6,7.2,36.2,0.49860000000000004,24.4,12.6,9.8,4.2,50.2,1.7941176470588234,57.63816,2025-03-28,2.0,0,False,109.63227764705883,Los Angeles Clippers
6,2025-03-28,LAC @ BKN,W,132,2,46,0.55,29,12,11,4,2024-25,Los Angeles Clippers,0,1,4.0,BKN,118.0,7.6,35.2,0.502,25.2,11.0,8.4,5.0,48.6,2.1,59.236,2025-03-26,2.0,0,False,109.936,Los Angeles Clippers
7,2025-03-26,LAC @ NYK,W,126,13,32,0.511,27,5,4,8,2024-25,Los Angeles Clippers,0,1,3.0,NYK,115.4,9.4,37.0,0.4822,23.8,11.8,7.8,5.8,50.6,1.859375,55.645880000000005,2025-03-23,3.0,0,False,108.105255,Los Angeles Clippers
8,2025-03-23,LAC vs. OKC,L,101,11,37,0.427,20,14,6,8,2024-25,Los Angeles Clippers,1,0,3.0,OKC,121.8,7.6,38.0,0.5098,26.0,11.2,6.8,6.6,51.4,2.1311475409836067,62.09364,2025-03-21,2.0,0,False,115.6247875409836,Los Angeles Clippers
9,2025-03-21,LAC vs. MEM,W,128,2,41,0.577,29,13,7,9,2024-25,Los Angeles Clippers,1,1,4.0,MEM,123.8,8.4,38.2,0.5226,26.6,11.2,7.0,6.8,52.0,2.1803278688524594,64.69788,2025-03-18,3.0,0,False,118.87820786885246,Los Angeles Clippers
10,2025-03-18,LAC vs. CLE,W,132,14,35,0.548,28,12,7,5,2024-25,Los Angeles Clippers,1,1,4.0,CLE,122.0,11.4,37.2,0.5094,26.8,10.8,6.8,7.0,51.0,2.271186440677966,62.1468,2025-03-16,2.0,0,False,115.41798644067796,Los Angeles Clippers
11,2025-03-16,LAC vs. CHA,W,123,17,41,0.484,30,10,10,5,2024-25,Los Angeles Clippers,1,1,4.0,CHA,121.0,10.2,37.4,0.5166000000000001,26.8,12.4,8.8,6.4,52.6,2.0,62.50860000000001,2025-03-14,2.0,0,False,117.10860000000001,Los Angeles Clippers
12,2025-03-14,LAC @ ATL,W,121,7,33,0.547,27,13,14,5,2024-25,Los Angeles Clippers,0,1,5.0,ATL,124.6,10.2,36.8,0.5496000000000001,27.6,12.8,9.0,4.8,50.599999999999994,2.0,68.48016000000001,2025-03-12,2.0,0,False,121.08016,Los Angeles Clippers
13,2025-03-12,LAC @ MIA,W,119,11,34,0.592,24,16,7,0,2024-25,Los Angeles Clippers,0,1,4.0,MIA,123.0,12.0,33.2,0.5342,28.6,12.4,9.6,4.6,47.400000000000006,2.1343283582089554,65.7066,2025-03-11,1.0,1,True,115.24092835820895,Los Angeles Clippers
14,2025-03-11,LAC @ NOP,L,120,11,23,0.5,34,11,10,8,2024-25,Los Angeles Clippers,0,0,4.0,NOP,118.8,9.8,33.2,0.5307999999999999,27.6,11.8,9.0,4.6,46.800000000000004,2.15625,63.05903999999999,2025-03-09,2.0,0,False,112.01529,Los Angeles Clippers
15,2025-03-09,LAC vs. SAC,W,111,3,35,0.531,23,9,4,5,2024-25,Los Angeles Clippers,1,1,4.0,SAC,115.2,8.2,32.6,0.518,26.2,12.2,8.4,5.2,46.2,1.9848484848484849,59.6736,2025-03-07,2.0,0,False,107.85844848484848,Los Angeles Clippers
16,2025-03-07,LAC vs. NYK,W,105,9,38,0.42,23,12,7,8,2024-25,Los Angeles Clippers,1,1,4.0,NYK,115.6,8.0,31.4,0.5186,24.4,11.4,7.2,5.4,44.0,1.9677419354838708,59.95015999999999,2025-03-05,2.0,0,False,105.91790193548385,Los Angeles Clippers
17,2025-03-05,LAC vs. DET,W,123,6,27,0.55,18,9,8,6,2024-25,Los Angeles Clippers,1,1,3.0,DET,115.2,7.2,30.6,0.5038,25.4,9.4,7.4,6.0,44.0,2.442307692307692,58.037760000000006,2025-03-04,1.0,1,False,104.4800676923077,Los Angeles Clippers
18,2025-03-04,LAC @ PHX,L,117,7,30,0.518,29,6,8,3,2024-25,Los Angeles Clippers,0,0,3.0,PHX,111.6,7.0,32.0,0.4902000000000001,23.4,9.6,7.2,4.6,43.8,2.2075471698113205,54.706320000000005,2025-03-02,2.0,0,False,100.71386716981132,Los Angeles Clippers
19,2025-03-02,LAC @ LAL,L,102,10,30,0.432,24,12,9,1,2024-25,Los Angeles Clippers,0,0,2.0,LAL,109.8,9.4,30.8,0.4736000000000001,23.8,11.2,8.6,3.8,43.2,1.9508196721311477,52.00128000000001,2025-02-28,2.0,0,False,97.15209967213116,Los Angeles Clippers
