,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,LAL @ OKC,L,120,12,33,0.463,21,18,2,6,2024-25,Los Angeles Lakers,0,0,3.0,OKC,115.8,10.4,31.8,0.495,23.4,14.8,8.4,4.0,44.2,1.481012658227848,57.321,2025-04-06,2.0,0,False,103.00201265822784,Los Angeles Lakers
1,2025-04-06,LAL @ OKC,W,126,8,35,0.548,25,15,6,2,2024-25,Los Angeles Lakers,0,1,4.0,OKC,124.4,9.4,31.6,0.5212000000000001,24.4,13.2,8.0,2.2,41.8,1.7183098591549295,64.83728000000002,2025-04-04,2.0,0,False,108.35558985915495,Los Angeles Lakers
2,2025-04-04,LAL vs. NOP,W,124,8,28,0.519,26,12,7,2,2024-25,Los Angeles Lakers,1,1,3.0,NOP,119.6,11.4,29.0,0.49000000000000005,23.4,12.4,6.8,2.6,38.4,1.7462686567164178,58.604000000000006,2025-04-03,1.0,1,False,98.75026865671643,Los Angeles Lakers
3,2025-04-03,LAL vs. GSW,L,116,14,25,0.453,23,8,5,3,2024-25,Los Angeles Lakers,1,0,3.0,GSW,118.0,10.4,31.2,0.47520000000000007,23.4,12.8,6.2,3.8,41.2,1.6956521739130432,56.073600000000006,2025-03-31,3.0,0,False,98.96925217391305,Los Angeles Lakers
4,2025-03-31,LAL vs. HOU,W,104,10,35,0.393,22,11,11,6,2024-25,Los Angeles Lakers,1,1,4.0,HOU,120.8,9.6,31.4,0.4838,25.2,11.8,7.2,3.2,41.8,1.9687499999999998,58.443039999999996,2025-03-29,2.0,0,False,102.21179,Los Angeles Lakers
5,2025-03-29,LAL @ MEM,W,134,8,34,0.506,30,13,7,3,2024-25,Los Angeles Lakers,0,1,3.0,MEM,119.0,9.2,31.2,0.4732,26.2,11.0,7.6,4.2,43.0,2.183333333333333,56.3108,2025-03-27,2.0,0,False,101.49413333333334,Los Angeles Lakers
6,2025-03-27,LAL @ CHI,L,117,6,34,0.495,30,11,8,7,2024-25,Los Angeles Lakers,0,0,3.0,CHI,118.2,9.2,32.6,0.47319999999999995,26.2,11.4,7.2,4.4,44.2,2.1129032258064515,55.93223999999999,2025-03-26,1.0,1,True,102.24514322580644,Los Angeles Lakers
7,2025-03-26,LAL @ IND,W,120,8,35,0.519,26,14,5,3,2024-25,Los Angeles Lakers,0,1,3.0,IND,116.2,8.6,33.2,0.47519999999999996,25.4,11.8,7.6,4.0,44.800000000000004,1.9843749999999998,55.218239999999994,2025-03-24,2.0,0,False,102.00261499999999,Los Angeles Lakers
8,2025-03-24,LAL @ ORL,L,106,11,28,0.463,19,10,7,1,2024-25,Los Angeles Lakers,0,0,2.0,ORL,118.4,8.4,31.4,0.493,25.6,13.8,7.0,3.0,41.4,1.7297297297297298,58.3712,2025-03-22,2.0,0,False,101.50092972972973,Los Angeles Lakers
9,2025-03-22,LAL vs. CHI,L,115,9,26,0.482,23,21,8,1,2024-25,Los Angeles Lakers,1,0,1.0,CHI,109.4,9.6,31.8,0.4748,24.8,15.0,6.6,3.2,41.6,1.55,51.94312,2025-03-20,2.0,0,False,95.09312,Los Angeles Lakers
10,2025-03-20,LAL vs. MIL,L,89,14,36,0.415,26,19,5,4,2024-25,Los Angeles Lakers,1,0,2.0,MIL,110.0,10.0,31.0,0.477,23.8,15.4,7.6,2.4,41.0,1.4512195121951221,52.47,2025-03-19,1.0,1,False,94.92121951219512,Los Angeles Lakers
11,2025-03-19,LAL vs. DEN,W,120,8,30,0.506,25,13,13,3,2024-25,Los Angeles Lakers,1,1,2.0,DEN,111.0,10.0,30.8,0.471,25.4,14.4,9.2,2.6,42.6,1.6493506493506491,52.281,2025-03-17,2.0,0,False,96.53035064935065,Los Angeles Lakers
12,2025-03-17,LAL vs. SAS,W,125,8,34,0.489,34,9,13,4,2024-25,Los Angeles Lakers,1,1,3.0,SAS,111.2,9.2,31.8,0.4648,26.0,14.0,9.2,3.4,44.4,1.7333333333333334,51.68576,2025-03-16,1.0,1,False,97.81909333333334,Los Angeles Lakers
13,2025-03-16,LAL vs. PHX,W,107,7,33,0.432,22,8,7,5,2024-25,Los Angeles Lakers,1,1,3.0,PHX,113.4,11.2,32.2,0.46180000000000004,27.8,11.4,9.6,3.6,45.400000000000006,2.2419354838709675,52.368120000000005,2025-03-14,2.0,0,False,100.01005548387099,Los Angeles Lakers
14,2025-03-14,LAL @ DEN,L,126,19,28,0.467,32,8,10,2,2024-25,Los Angeles Lakers,0,0,3.0,DEN,116.8,9.4,31.6,0.4662,26.2,10.2,9.2,3.6,44.4,2.3392857142857144,54.45216,2025-03-13,1.0,1,True,101.19144571428572,Los Angeles Lakers
15,2025-03-13,LAL @ MIL,L,106,5,33,0.437,18,13,3,4,2024-25,Los Angeles Lakers,0,0,2.0,MIL,114.4,9.4,32.6,0.45200000000000007,27.4,10.6,7.4,3.8,43.8,2.3620689655172415,51.70880000000001,2025-03-10,3.0,0,False,97.87086896551725,Los Angeles Lakers
16,2025-03-10,LAL @ BKN,L,108,8,35,0.435,31,15,4,4,2024-25,Los Angeles Lakers,0,0,1.0,BKN,109.6,9.6,33.0,0.4438,24.2,11.2,6.0,3.2,42.2,1.9836065573770492,48.64048,2025-03-08,2.0,0,False,92.82408655737706,Los Angeles Lakers
17,2025-03-08,LAL @ BOS,L,101,9,36,0.448,18,12,6,1,2024-25,Los Angeles Lakers,0,0,1.0,BOS,110.8,10.6,33.8,0.44279999999999997,24.8,12.8,6.0,3.0,42.8,1.7971014492753623,49.062239999999996,2025-03-06,2.0,0,False,93.65934144927536,Los Angeles Lakers
18,2025-03-06,LAL vs. NYK,W,113,12,37,0.427,25,16,7,4,2024-25,Los Angeles Lakers,1,1,2.0,NYK,112.8,10.2,35.0,0.45600000000000007,24.8,14.0,5.4,3.6,44.0,1.6533333333333333,51.436800000000005,2025-03-04,2.0,0,False,97.09013333333334,Los Angeles Lakers
19,2025-03-04,LAL vs. NOP,W,136,17,34,0.533,32,14,7,5,2024-25,Los Angeles Lakers,1,1,3.0,NOP,113.2,11.4,34.4,0.4673999999999999,25.4,14.6,6.4,4.0,44.8,1.6282051282051282,52.909679999999994,2025-03-02,2.0,0,False,99.33788512820513,Los Angeles Lakers
20,2025-03-02,LAL vs. LAC,W,108,11,30,0.494,21,16,8,6,2024-25,Los Angeles Lakers,1,1,4.0,LAC,112.8,11.8,33.2,0.4779999999999999,23.0,14.6,8.4,4.2,45.800000000000004,1.4743589743589745,53.91839999999999,2025-02-28,2.0,0,False,101.19275897435897,Los Angeles Lakers
21,2025-02-28,LAL vs. LAC,W,106,10,29,0.488,19,15,14,5,2024-25,Los Angeles Lakers,1,1,5.0,LAC,114.8,13.2,33.2,0.47139999999999993,23.6,14.6,8.6,4.4,46.2,1.512820512820513,54.116719999999994,2025-02-27,1.0,1,False,101.8295405128205,Los Angeles Lakers
22,2025-02-27,LAL vs. MIN,W,111,16,36,0.415,21,12,7,2,2024-25,Los Angeles Lakers,1,1,5.0,MIN,113.6,13.4,34.6,0.4756,23.4,14.2,8.6,5.2,48.400000000000006,1.5394736842105263,54.02816,2025-02-25,2.0,0,False,103.96763368421054,Los Angeles Lakers
23,2025-02-25,LAL vs. DAL,W,107,13,44,0.448,24,14,7,8,2024-25,Los Angeles Lakers,1,1,5.0,DAL,111.0,11.8,33.8,0.469,22.4,13.0,10.2,6.0,50.0,1.5999999999999999,52.059,2025-02-22,3.0,0,False,103.65899999999999,Los Angeles Lakers
24,2025-02-22,LAL @ DEN,W,123,9,30,0.5,27,8,15,9,2024-25,Los Angeles Lakers,0,1,5.0,DEN,111.4,11.8,35.2,0.4654,22.2,14.2,10.0,6.0,51.2,1.4605263157894737,51.84556,2025-02-20,2.0,0,False,104.50608631578947,Los Angeles Lakers
25,2025-02-20,LAL @ POR,W,110,11,37,0.476,20,22,7,6,2024-25,Los Angeles Lakers,0,1,4.0,POR,109.6,12.2,37.0,0.45,24.2,14.8,8.6,5.8,51.4,1.5316455696202531,49.32,2025-02-19,1.0,1,True,102.25164556962025,Los Angeles Lakers
26,2025-02-19,LAL vs. CHA,L,97,12,38,0.411,29,18,7,4,2024-25,Los Angeles Lakers,1,0,3.0,CHA,111.2,11.8,36.0,0.45619999999999994,26.2,15.2,8.2,6.0,50.2,1.617283950617284,50.72944,2025-02-12,7.0,0,False,102.54672395061729,Los Angeles Lakers
27,2025-02-12,LAL @ UTA,L,119,14,31,0.446,31,14,5,3,2024-25,Los Angeles Lakers,0,0,3.0,UTA,116.2,11.2,34.0,0.47519999999999996,27.0,14.6,9.0,4.8,47.8,1.7307692307692308,55.218239999999994,2025-02-10,2.0,0,False,104.74900923076922,Los Angeles Lakers
28,2025-02-10,LAL vs. UTA,W,132,10,34,0.543,28,11,11,2,2024-25,Los Angeles Lakers,1,1,3.0,UTA,116.4,11.2,35.4,0.4798,27.4,15.8,7.2,3.6,46.2,1.6309523809523807,55.84872,2025-02-08,2.0,0,False,103.67967238095238,Los Angeles Lakers
29,2025-02-08,LAL vs. IND,W,124,9,37,0.523,29,14,6,3,2024-25,Los Angeles Lakers,1,1,3.0,IND,118.4,10.4,36.0,0.48460000000000003,28.6,14.0,7.6,3.4,47.0,1.9066666666666667,57.37664000000001,2025-02-06,2.0,0,False,106.28330666666668,Los Angeles Lakers
30,2025-02-06,LAL vs. GSW,W,120,7,40,0.5,26,13,9,5,2024-25,Los Angeles Lakers,1,1,4.0,GSW,123.4,10.0,36.4,0.5136000000000001,29.4,13.2,7.6,3.2,47.2,2.0704225352112675,63.37824000000001,2025-02-04,2.0,0,False,112.64866253521129,Los Angeles Lakers
31,2025-02-04,LAL @ LAC,W,122,10,40,0.556,33,14,7,3,2024-25,Los Angeles Lakers,0,1,5.0,LAC,125.2,7.8,37.0,0.5404,28.4,13.4,8.4,3.4,48.8,1.972222222222222,67.65808,2025-02-01,3.0,0,False,118.43030222222222,Los Angeles Lakers
32,2025-02-01,LAL @ NYK,W,128,3,34,0.58,26,15,9,4,2024-25,Los Angeles Lakers,0,1,5.0,NYK,125.6,7.6,38.0,0.5406000000000001,29.0,13.4,8.0,4.2,50.2,2.013888888888889,67.89936,2025-01-30,2.0,0,False,120.11324888888889,Los Angeles Lakers
33,2025-01-30,LAL @ WAS,W,134,9,39,0.544,31,11,9,6,2024-25,Los Angeles Lakers,0,1,4.0,WAS,121.6,6.6,37.6,0.5388,28.2,15.0,7.8,4.2,49.6,1.7625,65.51807999999998,2025-01-28,2.0,0,False,116.88057999999998,Los Angeles Lakers
34,2025-01-28,LAL @ PHI,L,104,4,35,0.514,25,22,5,3,2024-25,Los Angeles Lakers,0,0,4.0,PHI,120.0,7.6,36.8,0.5412,27.4,15.6,7.8,4.2,48.8,1.650602409638554,64.944,2025-01-27,1.0,1,True,115.39460240963855,Los Angeles Lakers
35,2025-01-27,LAL @ CHA,W,112,12,36,0.512,22,16,9,5,2024-25,Los Angeles Lakers,0,1,4.0,CHA,119.2,7.6,35.2,0.5394,26.6,15.2,8.0,4.0,47.2,1.6419753086419755,64.29648,2025-01-25,2.0,0,False,113.13845530864198,Los Angeles Lakers
36,2025-01-25,LAL @ GSW,W,118,10,32,0.547,29,12,8,2,2024-25,Los Angeles Lakers,0,1,4.0,GSW,117.0,9.0,37.0,0.5178,26.8,13.4,7.0,3.8,47.8,1.8611111111111112,60.582600000000006,2025-01-23,2.0,0,False,110.24371111111111,Los Angeles Lakers
37,2025-01-23,LAL vs. BOS,W,117,10,43,0.472,27,6,4,3,2024-25,Los Angeles Lakers,1,1,4.0,BOS,112.4,8.6,37.8,0.5045999999999999,26.6,13.2,6.4,4.6,48.8,1.8732394366197185,56.71704,2025-01-21,2.0,0,False,107.39027943661972,Los Angeles Lakers
38,2025-01-21,LAL vs. WAS,W,111,7,43,0.478,30,10,6,10,2024-25,Los Angeles Lakers,1,1,4.0,WAS,112.0,8.8,36.4,0.5018,26.8,11.8,6.6,5.2,48.2,2.09375,56.2016,2025-01-19,2.0,0,False,106.49535,Los Angeles Lakers
39,2025-01-19,LAL @ LAC,L,102,5,28,0.5,26,15,6,6,2024-25,Los Angeles Lakers,0,0,4.0,LAC,110.0,7.6,34.8,0.492,27.2,10.6,6.0,5.6,46.4,2.3448275862068964,54.12,2025-01-17,2.0,0,False,102.8648275862069,Los Angeles Lakers
40,2025-01-17,LAL vs. BKN,W,102,6,28,0.463,24,10,6,7,2024-25,Los Angeles Lakers,1,1,4.0,BKN,109.8,6.8,34.0,0.487,28.0,9.4,6.8,6.0,46.8,2.692307692307692,53.4726,2025-01-15,2.0,0,False,102.96490769230769,Los Angeles Lakers
41,2025-01-15,LAL vs. MIA,W,117,6,28,0.522,33,6,12,4,2024-25,Los Angeles Lakers,1,1,3.0,MIA,106.8,7.8,30.4,0.4822,27.4,12.0,7.8,6.2,44.4,2.1076923076923078,51.498960000000004,2025-01-13,2.0,0,False,98.00665230769232,Los Angeles Lakers
42,2025-01-13,LAL vs. SAS,L,102,15,25,0.448,24,19,9,4,2024-25,Los Angeles Lakers,1,0,2.0,SAS,104.0,7.4,27.4,0.4772,25.4,12.0,8.0,5.4,40.8,1.9538461538461538,49.6288,2025-01-07,6.0,0,False,92.38264615384614,Los Angeles Lakers
43,2025-01-07,LAL @ DAL,L,97,5,28,0.453,20,10,7,6,2024-25,Los Angeles Lakers,0,0,2.0,DAL,106.6,8.4,27.6,0.4746,25.4,11.0,7.6,5.2,40.400000000000006,2.1166666666666667,50.59236,2025-01-05,2.0,0,False,93.10902666666667,Los Angeles Lakers
44,2025-01-05,LAL @ HOU,L,115,10,29,0.487,26,10,4,5,2024-25,Los Angeles Lakers,0,0,2.0,HOU,110.0,10.6,29.8,0.4798,26.2,12.6,7.2,5.0,42.0,1.9264705882352942,52.778,2025-01-03,2.0,0,False,96.7044705882353,Los Angeles Lakers
45,2025-01-03,LAL vs. ATL,W,119,17,39,0.489,28,18,4,6,2024-25,Los Angeles Lakers,1,1,2.0,ATL,109.4,12.4,29.8,0.4668,25.6,13.8,6.4,4.8,41.0,1.7297297297297298,51.06792,2025-01-02,1.0,1,False,93.79764972972973,Los Angeles Lakers
46,2025-01-02,LAL vs. POR,W,114,15,28,0.457,30,12,8,3,2024-25,Los Angeles Lakers,1,1,2.0,POR,111.0,11.0,31.8,0.46560000000000007,26.0,11.6,6.0,4.6,42.4,2.0634920634920637,51.68160000000001,2024-12-31,2.0,0,False,96.14509206349207,Los Angeles Lakers
47,2024-12-31,LAL vs. CLE,L,110,8,35,0.442,26,8,7,3,2024-25,Los Angeles Lakers,1,0,3.0,CLE,118.0,10.8,32.0,0.4944,28.6,11.8,5.4,4.0,41.4,2.234375,58.3392,2024-12-28,3.0,0,False,101.973575,Los Angeles Lakers
48,2024-12-28,LAL vs. SAC,W,132,4,29,0.597,33,11,4,3,2024-25,Los Angeles Lakers,1,1,4.0,SAC,118.0,11.0,32.2,0.48719999999999997,29.4,11.6,5.8,3.8,41.800000000000004,2.3333333333333335,57.489599999999996,2024-12-25,3.0,0,False,101.62293333333334,Los Angeles Lakers
49,2024-12-25,LAL @ GSW,W,115,11,30,0.451,30,9,6,4,2024-25,Los Angeles Lakers,0,1,3.0,GSW,117.0,8.8,30.8,0.4976,29.4,11.6,6.6,3.2,40.6,2.3333333333333335,58.2192,2024-12-23,2.0,0,False,101.15253333333334,Los Angeles Lakers
50,2024-12-23,LAL vs. DET,L,114,6,32,0.541,28,18,8,3,2024-25,Los Angeles Lakers,1,0,3.0,DET,114.8,7.6,33.0,0.5025999999999999,28.0,11.8,7.0,3.8,43.8,2.1875,57.69847999999999,2024-12-21,2.0,0,False,103.68597999999999,Los Angeles Lakers
51,2024-12-21,LAL @ SAC,W,103,9,39,0.482,23,13,10,6,2024-25,Los Angeles Lakers,0,1,4.0,SAC,115.4,8.8,33.8,0.495,27.2,12.2,7.2,5.2,46.199999999999996,2.0606060606060606,57.123000000000005,2024-12-19,2.0,0,False,105.38360606060607,Los Angeles Lakers
52,2024-12-19,LAL @ SAC,W,113,14,39,0.404,22,10,8,10,2024-25,Los Angeles Lakers,0,1,4.0,SAC,112.2,10.0,34.8,0.4708,25.2,14.2,8.4,6.0,49.199999999999996,1.6578947368421053,52.82376,2024-12-15,4.0,0,False,103.68165473684209,Los Angeles Lakers
53,2024-12-15,LAL vs. MEM,W,116,10,34,0.476,23,21,10,7,2024-25,Los Angeles Lakers,1,1,3.0,MEM,106.6,10.8,36.4,0.4574,22.6,16.6,8.6,6.4,51.4,1.2840909090909092,48.75883999999999,2024-12-13,2.0,0,False,101.4429309090909,Los Angeles Lakers
