,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,MEM @ CHA,W,124,14,38,0.452,23,13,12,3,2024-25,Memphis Grizzlies,0,1,3.0,CHA,119.8,13.0,35.6,0.46699999999999997,25.0,13.0,8.4,4.0,48.0,1.7857142857142858,55.9466,2025-04-05,3.0,0,False,105.73231428571428,Memphis Grizzlies
1,2025-04-05,MEM @ DET,W,109,17,47,0.415,19,14,4,3,2024-25,Memphis Grizzlies,0,1,3.0,DET,115.4,11.6,36.2,0.4612,23.6,14.4,7.4,3.4,47.0,1.5324675324675325,53.222480000000004,2025-04-03,2.0,0,False,101.75494753246754,Memphis Grizzlies
2,2025-04-03,MEM @ MIA,W,110,12,37,0.471,24,18,8,4,2024-25,Memphis Grizzlies,0,1,3.0,MIA,118.6,11.8,36.4,0.46659999999999996,22.8,15.2,7.2,3.6,47.2,1.4074074074074074,55.33875999999999,2025-04-01,2.0,0,False,103.9461674074074,Memphis Grizzlies
3,2025-04-01,MEM vs. GSW,L,125,8,35,0.478,22,16,7,6,2024-25,Memphis Grizzlies,1,0,3.0,GSW,114.2,11.2,39.4,0.4524,21.8,14.2,8.0,3.8,51.2,1.4342105263157896,51.664080000000006,2025-03-31,1.0,1,False,104.2982905263158,Memphis Grizzlies
4,2025-03-31,MEM vs. BOS,L,103,5,40,0.446,21,10,9,3,2024-25,Memphis Grizzlies,1,0,2.0,BOS,114.8,10.2,38.2,0.46720000000000006,23.8,14.0,7.0,4.0,49.2,1.5866666666666667,53.63456000000001,2025-03-29,2.0,0,False,104.42122666666668,Memphis Grizzlies
5,2025-03-29,MEM vs. LAL,L,127,9,32,0.526,33,12,7,4,2024-25,Memphis Grizzlies,1,0,1.0,LAL,113.8,7.8,35.0,0.4678,25.6,14.8,8.0,4.2,47.2,1.620253164556962,53.23564,2025-03-27,2.0,0,False,102.05589316455696,Memphis Grizzlies
6,2025-03-27,MEM @ OKC,L,104,5,31,0.418,28,18,9,4,2024-25,Memphis Grizzlies,0,0,1.0,OKC,119.8,8.8,34.6,0.4798,28.4,12.8,7.8,4.2,46.6,2.0579710144927534,57.48004,2025-03-25,2.0,0,False,106.13801101449275,Memphis Grizzlies
7,2025-03-25,MEM @ UTA,W,140,17,35,0.531,38,8,7,4,2024-25,Memphis Grizzlies,0,1,1.0,UTA,116.4,9.2,33.6,0.46840000000000004,29.6,11.6,8.0,3.6,45.2,2.3492063492063493,54.52176000000001,2025-03-21,4.0,0,False,102.07096634920636,Memphis Grizzlies
8,2025-03-21,MEM @ LAC,L,108,10,30,0.421,28,10,8,3,2024-25,Memphis Grizzlies,0,0,1.0,LAC,115.6,10.2,31.6,0.4596,30.0,11.6,8.4,3.8,43.8,2.380952380952381,53.12976,2025-03-19,2.0,0,False,99.31071238095237,Memphis Grizzlies
9,2025-03-19,MEM @ POR,L,99,10,30,0.402,23,10,11,4,2024-25,Memphis Grizzlies,0,0,1.0,POR,114.6,11.4,31.8,0.45220000000000005,28.2,12.6,8.6,4.4,44.8,2.073529411764706,51.822120000000005,2025-03-17,2.0,0,False,98.6956494117647,Memphis Grizzlies
