,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-07,MIA vs. PHI,W,117,10,37,0.506,26,13,7,6,2024-25,Miami Heat,1,1,2.0,PHI,122.8,11.6,37.2,0.4928,28.4,10.6,8.4,4.2,49.800000000000004,2.4482758620689653,60.51584,2025-04-05,2.0,0,False,112.76411586206896,Miami Heat
1,2025-04-05,MIA vs. MIL,L,115,12,40,0.422,24,10,4,1,2024-25,Miami Heat,1,0,2.0,MIL,120.8,12.8,36.2,0.475,27.6,11.2,9.0,4.6,49.800000000000004,2.2622950819672134,57.379999999999995,2025-04-03,2.0,0,False,109.44229508196722,Miami Heat
2,2025-04-03,MIA vs. MEM,L,108,15,32,0.411,24,11,11,8,2024-25,Miami Heat,1,0,2.0,MEM,115.0,11.8,32.0,0.46699999999999997,26.0,10.2,8.4,4.0,44.4,2.3214285714285716,53.705,2025-04-02,1.0,1,False,100.42642857142857,Miami Heat
3,2025-04-02,MIA @ BOS,W,124,11,23,0.518,28,4,9,2,2024-25,Miami Heat,0,1,3.0,BOS,116.8,12.6,35.8,0.47240000000000004,26.2,11.0,8.6,3.8,48.199999999999996,2.183333333333333,55.176320000000004,2025-03-31,2.0,0,False,105.55965333333333,Miami Heat
4,2025-03-31,MIA @ WAS,W,120,15,47,0.505,29,17,12,2,2024-25,Miami Heat,0,1,3.0,WAS,117.0,13.8,34.6,0.46579999999999994,27.6,10.2,9.6,3.4,47.6,2.4642857142857144,54.49859999999999,2025-03-29,2.0,0,False,104.5628857142857,Miami Heat
5,2025-03-29,MIA @ PHI,W,118,16,31,0.473,33,9,12,4,2024-25,Miami Heat,0,1,4.0,PHI,118.4,12.8,32.6,0.4888,28.0,10.8,10.8,3.4,46.800000000000004,2.3728813559322033,57.873920000000005,2025-03-27,2.0,0,False,107.04680135593222,Miami Heat
6,2025-03-27,MIA vs. ATL,W,122,7,30,0.537,26,13,10,1,2024-25,Miami Heat,1,1,5.0,ATL,119.2,11.4,33.0,0.5182,28.4,11.6,10.2,2.8,46.0,2.253968253968254,61.76944,2025-03-25,2.0,0,False,110.02340825396826,Miami Heat
7,2025-03-25,MIA vs. GSW,W,112,8,34,0.558,26,15,8,5,2024-25,Miami Heat,1,1,5.0,GSW,118.8,10.6,33.4,0.5292000000000001,28.2,12.8,10.4,3.2,47.0,2.043478260869565,62.868960000000015,2025-03-23,2.0,0,False,111.91243826086958,Miami Heat
8,2025-03-23,MIA vs. CHA,W,122,7,25,0.573,27,10,10,4,2024-25,Miami Heat,1,1,4.0,CHA,114.4,8.6,29.8,0.5324,27.4,13.4,9.6,3.8,43.2,1.9027777777777777,60.90656,2025-03-21,2.0,0,False,106.00933777777777,Miami Heat
9,2025-03-21,MIA vs. HOU,L,98,5,29,0.521,25,20,8,5,2024-25,Miami Heat,1,0,3.0,HOU,113.4,7.6,28.8,0.5356,25.6,14.2,8.6,4.0,41.4,1.6842105263157896,60.73704,2025-03-19,2.0,0,False,103.8212505263158,Miami Heat
