,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,MIL vs. MIN,W,110,11,32,0.476,27,11,8,2,2024-25,Milwaukee Bucks,1,1,5.0,MIN,124.4,8.4,35.4,0.505,28.6,11.2,8.6,5.0,49.0,2.3442622950819674,62.822,2025-04-06,2.0,0,False,114.16626229508196,Milwaukee Bucks
1,2025-04-06,MIL @ NOP,W,111,10,41,0.467,29,7,10,4,2024-25,Milwaukee Bucks,0,1,5.0,NOP,120.6,7.8,37.8,0.4922000000000001,28.4,9.0,8.8,4.2,50.8,2.84,59.359320000000004,2025-04-05,1.0,1,True,112.99932000000001,Milwaukee Bucks
2,2025-04-05,MIL @ MIA,W,121,3,44,0.517,29,9,6,3,2024-25,Milwaukee Bucks,0,1,5.0,MIA,120.8,7.8,37.0,0.5130000000000001,28.8,9.8,8.8,4.0,49.8,2.6666666666666665,61.97040000000001,2025-04-03,2.0,0,False,114.43706666666668,Milwaukee Bucks
3,2025-04-03,MIL @ PHI,W,126,8,32,0.561,32,11,7,7,2024-25,Milwaukee Bucks,0,1,5.0,PHI,120.2,7.0,35.0,0.542,29.8,11.2,7.4,4.2,46.6,2.4426229508196724,65.14840000000001,2025-04-01,2.0,0,False,114.19102295081969,Milwaukee Bucks
4,2025-04-01,MIL vs. PHX,W,133,3,26,0.689,32,18,6,5,2024-25,Milwaukee Bucks,1,1,4.0,PHX,123.0,6.0,34.6,0.542,28.6,11.8,6.8,4.2,45.6,2.234375,66.66600000000001,2025-03-30,2.0,0,False,114.50037500000002,Milwaukee Bucks
5,2025-03-30,MIL vs. ATL,L,124,6,30,0.476,21,14,5,2,2024-25,Milwaukee Bucks,1,0,3.0,ATL,122.2,4.6,32.2,0.558,27.6,13.6,5.2,4.0,41.400000000000006,1.8904109589041098,68.1876,2025-03-28,2.0,0,False,111.47801095890412,Milwaukee Bucks
6,2025-03-28,MIL vs. NYK,L,107,3,29,0.547,24,16,2,3,2024-25,Milwaukee Bucks,1,0,2.0,NYK,121.4,5.6,29.6,0.558,27.8,14.0,4.8,4.6,39.0,1.8533333333333333,67.7412,2025-03-26,2.0,0,False,108.59453333333335,Milwaukee Bucks
7,2025-03-26,MIL @ DEN,L,117,8,31,0.517,30,11,4,6,2024-25,Milwaukee Bucks,0,0,1.0,DEN,117.4,5.8,28.6,0.5349999999999999,26.2,13.2,5.8,3.2,37.6,1.8450704225352113,62.80899999999999,2025-03-24,2.0,0,False,102.2540704225352,Milwaukee Bucks
8,2025-03-24,MIL @ PHX,L,106,9,27,0.446,24,7,12,0,2024-25,Milwaukee Bucks,0,0,1.0,PHX,113.6,7.4,29.6,0.502,24.2,11.4,5.8,2.8,38.2,1.9516129032258063,57.0272,2025-03-22,2.0,0,False,97.1788129032258,Milwaukee Bucks
9,2025-03-22,MIL @ SAC,W,114,11,31,0.524,22,9,6,3,2024-25,Milwaukee Bucks,0,1,2.0,SAC,112.4,8.2,29.8,0.502,24.8,10.4,7.2,3.2,40.2,2.175438596491228,56.424800000000005,2025-03-20,2.0,0,False,98.80023859649123,Milwaukee Bucks
