,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,MIN @ MIL,L,103,10,32,0.461,25,13,4,3,2024-25,Minnesota Timberwolves,0,0,4.0,MIL,118.2,11.2,35.2,0.5066,25.2,13.8,5.8,5.4,46.400000000000006,1.7027027027027026,59.880120000000005,2025-04-05,3.0,0,False,107.98282270270272,Minnesota Timberwolves
1,2025-04-05,MIN @ PHI,W,114,14,33,0.506,22,15,5,7,2024-25,Minnesota Timberwolves,0,1,4.0,PHI,116.0,9.8,34.8,0.5128,26.0,14.6,5.2,5.6,45.599999999999994,1.6666666666666667,59.48480000000001,2025-04-03,2.0,0,False,106.75146666666666,Minnesota Timberwolves
2,2025-04-03,MIN @ BKN,W,105,10,35,0.5,27,17,6,10,2024-25,Minnesota Timberwolves,0,1,4.0,BKN,120.6,12.6,32.8,0.4974000000000001,27.6,15.0,5.2,5.0,43.0,1.725,59.98644000000001,2025-04-01,2.0,0,False,104.71144000000001,Minnesota Timberwolves
3,2025-04-01,MIN @ DEN,W,140,21,31,0.468,35,14,5,2,2024-25,Minnesota Timberwolves,0,1,4.0,DEN,117.0,14.0,35.0,0.4816,26.6,13.6,4.6,6.2,45.8,1.8219178082191783,56.347199999999994,2025-03-30,2.0,0,False,103.96911780821917,Minnesota Timberwolves
4,2025-03-30,MIN vs. DET,W,123,15,44,0.473,24,9,3,9,2024-25,Minnesota Timberwolves,1,1,5.0,DET,121.2,14.4,34.8,0.495,27.8,13.2,6.2,6.4,47.4,1.9577464788732395,59.994,2025-03-28,2.0,0,False,109.35174647887324,Minnesota Timberwolves
5,2025-03-28,MIN vs. PHX,W,124,12,31,0.528,31,11,12,4,2024-25,Minnesota Timberwolves,1,1,4.0,PHX,119.0,13.4,35.4,0.49060000000000004,28.6,13.6,6.2,5.6,47.2,1.9589041095890412,58.381400000000006,2025-03-24,4.0,0,False,107.54030410958904,Minnesota Timberwolves
6,2025-03-24,MIN @ IND,L,103,9,36,0.484,26,17,5,3,2024-25,Minnesota Timberwolves,0,0,4.0,IND,124.8,13.4,33.6,0.4984,31.2,12.8,7.8,3.8,45.2,2.260869565217391,62.20032,2025-03-21,3.0,0,False,109.6611895652174,Minnesota Timberwolves
7,2025-03-21,MIN vs. NOP,W,134,10,26,0.539,40,13,14,1,2024-25,Minnesota Timberwolves,1,1,3.0,NOP,119.8,11.0,33.6,0.4958,28.4,12.8,8.2,4.6,46.4,2.0579710144927534,59.39684,2025-03-19,2.0,0,False,107.85481101449275,Minnesota Timberwolves
8,2025-03-19,MIN vs. NOP,L,115,9,31,0.455,21,14,7,6,2024-25,Minnesota Timberwolves,1,0,2.0,NOP,121.2,9.8,31.8,0.4920000000000001,28.6,13.8,9.8,4.2,45.8,1.9324324324324325,59.630400000000016,2025-03-17,2.0,0,False,107.36283243243244,Minnesota Timberwolves
9,2025-03-17,MIN vs. IND,L,130,9,35,0.454,25,14,11,7,2024-25,Minnesota Timberwolves,1,0,2.0,IND,122.0,10.6,32.2,0.4854,28.4,13.4,10.2,4.6,47.0,1.972222222222222,59.2188,2025-03-16,1.0,1,False,108.19102222222222,Minnesota Timberwolves
10,2025-03-16,MIN vs. UTA,W,128,16,33,0.495,30,9,14,6,2024-25,Minnesota Timberwolves,1,1,3.0,UTA,125.0,10.0,32.8,0.4936,28.4,13.0,10.8,5.2,48.8,2.0285714285714285,61.699999999999996,2025-03-14,2.0,0,False,112.52857142857141,Minnesota Timberwolves
11,2025-03-14,MIN vs. ORL,W,118,6,39,0.525,26,15,8,6,2024-25,Minnesota Timberwolves,1,1,3.0,ORL,121.2,10.4,34.8,0.4814,26.6,13.4,9.4,6.0,50.199999999999996,1.8472222222222223,58.34568,2025-03-12,2.0,0,False,110.39290222222222,Minnesota Timberwolves
12,2025-03-12,MIN @ DEN,W,115,12,36,0.478,31,15,7,5,2024-25,Minnesota Timberwolves,0,1,4.0,DEN,126.4,11.4,34.2,0.502,30.0,13.0,9.4,5.6,49.2,2.142857142857143,63.4528,2025-03-09,3.0,0,False,114.79565714285715,Minnesota Timberwolves
13,2025-03-09,MIN vs. SAS,W,141,14,28,0.558,38,12,7,4,2024-25,Minnesota Timberwolves,1,1,5.0,SAS,121.6,11.0,34.4,0.51,30.6,12.8,8.4,5.4,48.2,2.217391304347826,62.016,2025-03-07,2.0,0,False,112.43339130434782,Minnesota Timberwolves
14,2025-03-07,MIN @ MIA,W,106,7,36,0.494,28,13,6,6,2024-25,Minnesota Timberwolves,0,1,5.0,MIA,121.0,9.8,34.4,0.5087999999999999,30.0,12.0,7.4,4.8,46.599999999999994,2.3076923076923075,61.56479999999999,2025-03-05,2.0,0,False,110.47249230769229,Minnesota Timberwolves
15,2025-03-05,MIN @ CHA,W,125,10,33,0.489,27,5,9,3,2024-25,Minnesota Timberwolves,0,1,5.0,CHA,122.6,10.0,32.6,0.5174,30.6,12.4,7.2,4.6,44.400000000000006,2.283582089552239,63.43323999999999,2025-03-04,1.0,1,True,110.11682208955224,Minnesota Timberwolves
16,2025-03-04,MIN vs. PHI,W,126,7,30,0.568,29,17,7,5,2024-25,Minnesota Timberwolves,1,1,5.0,PHI,122.8,8.6,31.4,0.5065999999999999,30.0,11.0,9.4,4.0,44.8,2.5,62.21047999999999,2025-03-02,2.0,0,False,109.51047999999999,Minnesota Timberwolves
17,2025-03-02,MIN @ PHX,W,116,5,30,0.424,28,8,18,2,2024-25,Minnesota Timberwolves,0,1,4.0,PHX,117.8,8.0,31.6,0.4821999999999999,29.4,10.0,11.4,4.0,47.0,2.6727272727272724,56.803159999999984,2025-02-28,2.0,0,False,106.47588727272725,Minnesota Timberwolves
18,2025-02-28,MIN @ UTA,L,116,11,29,0.436,35,7,17,4,2024-25,Minnesota Timberwolves,0,0,3.0,UTA,117.0,8.6,30.6,0.4668,28.8,9.4,12.0,3.4,46.0,2.769230769230769,54.6156,2025-02-27,1.0,1,True,103.38483076923077,Minnesota Timberwolves
19,2025-02-27,MIN @ LAL,L,102,10,31,0.417,25,10,9,3,2024-25,Minnesota Timberwolves,0,0,3.0,LAL,118.2,8.8,32.6,0.4598,29.2,11.0,11.4,3.8,47.8,2.433333333333333,54.34836,2025-02-24,3.0,0,False,104.58169333333333,Minnesota Timberwolves
20,2025-02-24,MIN @ OKC,W,131,11,43,0.454,29,13,6,5,2024-25,Minnesota Timberwolves,0,1,2.0,OKC,117.6,10.4,32.4,0.4338,28.0,10.2,11.2,3.8,47.4,2.5,51.01488,2025-02-23,1.0,1,True,100.91488,Minnesota Timberwolves
21,2025-02-23,MIN vs. OKC,L,123,15,29,0.438,23,13,6,5,2024-25,Minnesota Timberwolves,1,0,1.0,OKC,117.4,10.8,32.0,0.4382,26.8,10.4,9.6,4.6,46.2,2.3508771929824563,51.44468,2025-02-21,2.0,0,False,99.99555719298246,Minnesota Timberwolves
22,2025-02-21,MIN @ HOU,L,115,7,28,0.446,22,9,10,6,2024-25,Minnesota Timberwolves,0,0,2.0,HOU,117.4,12.6,33.0,0.43579999999999997,25.4,10.6,7.2,4.2,44.4,2.189655172413793,51.16292,2025-02-13,8.0,0,False,97.7525751724138,Minnesota Timberwolves
23,2025-02-13,MIN vs. OKC,W,116,20,34,0.424,28,8,5,2,2024-25,Minnesota Timberwolves,1,1,2.0,OKC,117.2,13.6,35.6,0.4282,25.8,11.2,6.2,4.8,46.6,2.114754098360656,50.18504,2025-02-12,1.0,1,False,98.89979409836066,Minnesota Timberwolves
