,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,NOP @ BKN,L,114,9,33,0.476,26,17,10,6,2024-25,New Orleans Pelicans,0,0,0.0,BKN,107.2,11.2,35.2,0.4282,26.8,13.8,6.8,3.6,45.6,1.8108108108108107,45.903040000000004,2025-04-06,2.0,0,False,93.31385081081082,New Orleans Pelicans
1,2025-04-06,NOP vs. MIL,L,107,9,39,0.453,31,11,4,6,2024-25,New Orleans Pelicans,1,0,0.0,MIL,108.8,12.0,32.6,0.4488,27.8,14.6,7.6,3.2,43.400000000000006,1.7820512820512822,48.82944,2025-04-04,2.0,0,False,94.01149128205128,New Orleans Pelicans
2,2025-04-04,NOP @ LAL,L,108,15,23,0.488,27,16,10,2,2024-25,New Orleans Pelicans,0,0,0.0,LAL,107.6,11.0,33.0,0.47000000000000003,28.2,15.0,8.2,3.6,44.8,1.7625,50.572,2025-04-02,2.0,0,False,97.1345,New Orleans Pelicans
3,2025-04-02,NOP @ LAC,L,98,7,32,0.506,29,15,9,4,2024-25,New Orleans Pelicans,0,0,1.0,LAC,105.0,10.8,34.0,0.46719999999999995,27.4,15.2,8.4,5.2,47.6,1.691358024691358,49.056,2025-03-30,3.0,0,False,98.34735802469136,New Orleans Pelicans
4,2025-03-30,NOP vs. CHA,W,98,14,43,0.413,24,17,9,8,2024-25,New Orleans Pelicans,1,1,1.0,CHA,101.2,11.8,33.8,0.45339999999999997,27.0,14.8,7.6,5.0,46.4,1.7088607594936709,45.88408,2025-03-28,2.0,0,False,93.99294075949366,New Orleans Pelicans
5,2025-03-28,NOP vs. GSW,L,95,14,32,0.407,24,15,6,5,2024-25,New Orleans Pelicans,1,0,2.0,GSW,102.2,12.6,33.6,0.46159999999999995,28.0,15.8,9.0,4.8,47.400000000000006,1.6666666666666665,47.17552,2025-03-24,4.0,0,False,96.24218666666667,New Orleans Pelicans
6,2025-03-24,NOP vs. PHI,W,112,13,38,0.494,36,16,11,5,2024-25,New Orleans Pelicans,1,1,2.0,PHI,106.6,11.6,34.4,0.47919999999999996,29.6,16.0,7.6,5.4,47.4,1.7411764705882353,51.082719999999995,2025-03-23,1.0,1,False,100.22389647058823,New Orleans Pelicans
7,2025-03-23,NOP @ DET,L,130,10,27,0.576,35,17,3,5,2024-25,New Orleans Pelicans,0,0,2.0,DET,105.6,11.6,33.2,0.4779999999999999,27.8,18.0,8.0,5.4,46.6,1.4631578947368422,50.47679999999999,2025-03-21,2.0,0,False,98.53995789473683,New Orleans Pelicans
8,2025-03-21,NOP @ MIN,L,93,7,26,0.5,20,25,11,4,2024-25,New Orleans Pelicans,0,0,2.0,MIN,109.8,11.0,31.6,0.501,28.6,17.2,7.2,5.0,43.8,1.5714285714285716,55.0098,2025-03-19,2.0,0,False,100.38122857142857,New Orleans Pelicans
9,2025-03-19,NOP @ MIN,W,119,11,35,0.528,28,13,5,6,2024-25,New Orleans Pelicans,0,1,2.0,MIN,107.0,10.8,30.4,0.4848,27.4,17.4,7.4,5.2,43.0,1.4891304347826086,51.8736,2025-03-17,2.0,0,False,96.3627304347826,New Orleans Pelicans
10,2025-03-17,NOP vs. DET,L,81,13,26,0.326,18,16,7,6,2024-25,New Orleans Pelicans,1,0,1.0,DET,107.6,10.6,30.8,0.48600000000000004,27.0,17.2,5.6,4.8,41.2,1.4835164835164836,52.293600000000005,2025-03-15,2.0,0,False,94.97711648351648,New Orleans Pelicans
11,2025-03-15,NOP @ SAS,L,115,12,40,0.5,34,15,2,3,2024-25,New Orleans Pelicans,0,0,1.0,SAS,100.2,10.8,31.2,0.45940000000000003,24.6,16.4,5.6,4.6,41.4,1.413793103448276,46.03188,2025-03-13,2.0,0,False,88.84567310344828,New Orleans Pelicans
12,2025-03-13,NOP vs. ORL,L,93,11,29,0.443,23,13,3,4,2024-25,New Orleans Pelicans,1,0,2.0,ORL,107.0,11.8,32.8,0.47000000000000003,27.4,15.2,4.8,5.2,42.8,1.691358024691358,50.290000000000006,2025-03-11,2.0,0,False,94.78135802469137,New Orleans Pelicans
