,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,NYK vs. BOS,L,117,17,35,0.475,28,11,8,6,2024-25,New York Knicks,1,0,2.0,BOS,110.0,10.8,29.6,0.46440000000000003,27.4,11.6,9.2,4.0,42.8,2.1746031746031744,51.084,2025-04-06,2.0,0,False,96.05860317460318,New York Knicks
1,2025-04-06,NYK vs. PHX,W,112,6,35,0.541,28,14,6,3,2024-25,New York Knicks,1,1,2.0,PHX,111.6,10.0,30.0,0.4856,28.4,12.0,8.8,4.4,43.2,2.1846153846153844,54.19295999999999,2025-04-05,1.0,1,False,99.57757538461539,New York Knicks
2,2025-04-05,NYK @ ATL,W,121,6,32,0.536,32,13,8,5,2024-25,New York Knicks,0,1,2.0,ATL,112.2,11.0,29.8,0.4926000000000001,28.8,13.2,8.0,4.4,42.2,2.028169014084507,55.269720000000014,2025-04-02,3.0,0,False,99.49788901408452,New York Knicks
3,2025-04-02,NYK @ CLE,L,105,15,24,0.444,24,14,7,2,2024-25,New York Knicks,0,0,3.0,CLE,112.0,11.6,31.2,0.484,27.0,14.0,7.8,4.0,43.0,1.8,54.208,2025-04-01,1.0,1,True,99.008,New York Knicks
4,2025-04-01,NYK vs. PHI,W,105,14,30,0.424,23,18,10,4,2024-25,New York Knicks,1,1,4.0,PHI,110.6,10.0,31.2,0.4962000000000001,26.8,14.4,8.2,4.8,44.2,1.7402597402597402,54.879720000000006,2025-03-30,2.0,0,False,100.81997974025975,New York Knicks
5,2025-03-30,NYK vs. POR,W,110,9,35,0.536,27,13,10,10,2024-25,New York Knicks,1,1,4.0,POR,111.4,11.6,30.2,0.4848,26.8,13.2,9.4,4.4,44.0,1.887323943661972,54.00672,2025-03-28,2.0,0,False,99.89404394366197,New York Knicks
6,2025-03-28,NYK @ MIL,W,116,14,30,0.484,28,8,12,1,2024-25,New York Knicks,0,1,3.0,MIL,109.8,11.8,30.0,0.47759999999999997,27.4,12.4,8.6,3.6,42.2,2.044776119402985,52.440479999999994,2025-03-26,2.0,0,False,96.68525611940298,New York Knicks
7,2025-03-26,NYK vs. LAC,L,113,7,31,0.5,35,9,4,1,2024-25,New York Knicks,1,0,4.0,LAC,114.4,9.8,31.4,0.508,30.6,12.4,9.0,4.0,44.4,2.283582089552239,58.1152,2025-03-25,1.0,1,False,104.79878208955225,New York Knicks
8,2025-03-25,NYK vs. DAL,W,128,5,31,0.596,40,14,9,4,2024-25,New York Knicks,1,1,4.0,DAL,117.8,9.8,32.4,0.52,31.8,11.6,9.6,3.8,45.8,2.5238095238095237,61.256,2025-03-22,3.0,0,False,109.57980952380953,New York Knicks
9,2025-03-22,NYK vs. WAS,W,122,14,35,0.484,29,14,13,3,2024-25,New York Knicks,1,1,3.0,WAS,115.4,9.8,31.2,0.4928,31.6,10.4,9.4,2.2,42.8,2.7719298245614037,56.86912,2025-03-20,2.0,0,False,102.4410498245614,New York Knicks
