,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,OKC vs. LAL,W,136,15,29,0.5,26,6,9,5,2024-25,Oklahoma City Thunder,1,1,4.0,LAL,124.0,10.8,33.8,0.4868,25.4,8.6,9.8,3.6,47.199999999999996,2.6458333333333335,60.3632,2025-04-06,2.0,0,False,110.20903333333334,Oklahoma City Thunder
1,2025-04-06,OKC vs. LAL,L,99,9,25,0.433,20,7,9,3,2024-25,Oklahoma City Thunder,1,0,3.0,LAL,123.2,8.8,31.6,0.4997999999999999,27.0,9.6,9.6,4.0,45.2,2.547169811320755,61.57535999999999,2025-04-04,2.0,0,False,109.32252981132075,Oklahoma City Thunder
2,2025-04-04,OKC @ HOU,L,111,7,26,0.483,24,15,7,6,2024-25,Oklahoma City Thunder,0,0,3.0,HOU,118.0,10.4,29.8,0.47539999999999993,23.8,9.6,9.6,5.4,44.8,2.2452830188679247,56.097199999999994,2025-04-02,2.0,0,False,103.14248301886792,Oklahoma City Thunder
3,2025-04-02,OKC vs. DET,W,119,13,33,0.438,25,10,12,11,2024-25,Oklahoma City Thunder,1,1,3.0,DET,122.0,10.6,29.6,0.477,26.8,10.4,9.6,6.2,45.400000000000006,2.3508771929824563,58.193999999999996,2025-03-31,2.0,0,False,105.94487719298246,Oklahoma City Thunder
4,2025-03-31,OKC vs. CHI,W,145,9,35,0.531,39,14,11,6,2024-25,Oklahoma City Thunder,1,1,3.0,CHI,121.2,9.2,31.6,0.47919999999999996,26.8,11.0,9.6,6.0,47.2,2.2333333333333334,58.07904,2025-03-29,2.0,0,False,107.51237333333333,Oklahoma City Thunder
5,2025-03-29,OKC vs. IND,W,132,8,39,0.511,26,9,9,4,2024-25,Oklahoma City Thunder,1,1,4.0,IND,126.4,8.8,34.2,0.4904,28.4,12.0,9.6,6.2,50.0,2.1846153846153844,61.986560000000004,2025-03-27,2.0,0,False,114.1711753846154,Oklahoma City Thunder
6,2025-03-27,OKC vs. MEM,W,125,7,38,0.489,28,12,9,4,2024-25,Oklahoma City Thunder,1,1,5.0,MEM,128.4,8.6,38.2,0.4986,29.6,12.0,9.6,6.2,54.0,2.276923076923077,64.02024,2025-03-25,2.0,0,False,120.29716307692308,Oklahoma City Thunder
7,2025-03-25,OKC @ SAC,W,121,6,46,0.524,30,15,7,6,2024-25,Oklahoma City Thunder,0,1,5.0,SAC,125.2,8.0,38.0,0.49139999999999995,30.2,11.8,9.0,5.6,52.6,2.359375,61.52327999999999,2025-03-23,2.0,0,False,116.482655,Oklahoma City Thunder
8,2025-03-23,OKC @ LAC,W,103,10,32,0.402,28,9,9,8,2024-25,Oklahoma City Thunder,0,1,5.0,LAC,124.4,8.2,37.6,0.5,28.2,10.4,8.8,5.8,52.2,2.4736842105263155,62.2,2025-03-21,2.0,0,False,116.87368421052632,Oklahoma City Thunder
9,2025-03-21,OKC vs. CHA,W,141,10,33,0.574,29,7,10,7,2024-25,Oklahoma City Thunder,1,1,5.0,CHA,124.6,8.8,38.6,0.5022,30.2,11.0,9.0,6.0,53.6,2.5166666666666666,62.57411999999999,2025-03-19,2.0,0,False,118.69078666666667,Oklahoma City Thunder
