,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,ORL vs. ATL,W,119,13,30,0.5,23,13,13,6,2024-25,Orlando Magic,1,1,4.0,ATL,111.6,11.6,31.8,0.48019999999999996,26.0,12.8,10.0,6.6,48.400000000000006,1.8840579710144927,53.59031999999999,2025-04-03,5.0,0,False,103.8743779710145,Orlando Magic
1,2025-04-03,ORL @ WAS,W,109,13,34,0.463,27,8,7,8,2024-25,Orlando Magic,0,1,5.0,WAS,113.8,11.2,31.8,0.4848,26.6,12.0,10.2,7.0,49.0,2.0461538461538464,55.17024,2025-04-01,2.0,0,False,106.21639384615385,Orlando Magic
2,2025-04-01,ORL @ SAS,W,116,10,31,0.478,28,10,12,7,2024-25,Orlando Magic,0,1,4.0,SAS,105.4,10.8,31.6,0.4486,23.8,11.0,9.4,5.6,46.6,1.9833333333333334,47.28244,2025-03-31,1.0,1,True,95.86577333333334,Orlando Magic
3,2025-03-31,ORL vs. LAC,L,87,6,26,0.395,18,14,10,4,2024-25,Orlando Magic,1,0,4.0,LAC,110.4,11.0,31.4,0.466,25.4,11.4,10.4,5.4,47.2,2.0483870967741935,51.446400000000004,2025-03-29,2.0,0,False,100.6947870967742,Orlando Magic
4,2025-03-29,ORL vs. SAC,W,121,13,36,0.494,31,12,10,2,2024-25,Orlando Magic,1,1,3.0,SAC,105.0,10.4,32.2,0.45099999999999996,23.6,12.0,8.8,5.2,46.2,1.8153846153846156,47.355,2025-03-27,2.0,0,False,95.37038461538461,Orlando Magic
5,2025-03-27,ORL vs. DAL,L,92,10,34,0.425,14,16,5,5,2024-25,Orlando Magic,1,0,3.0,DAL,105.4,10.4,32.8,0.44959999999999994,22.6,12.0,8.4,4.4,45.599999999999994,1.7384615384615385,47.38784,2025-03-25,2.0,0,False,94.72630153846153,Orlando Magic
6,2025-03-25,ORL @ CHA,W,111,13,37,0.456,22,8,5,4,2024-25,Orlando Magic,0,1,3.0,CHA,105.8,10.8,32.8,0.45280000000000004,22.0,11.6,7.2,3.8,43.8,1.746031746031746,47.906240000000004,2025-03-24,1.0,1,True,93.45227174603176,Orlando Magic
7,2025-03-24,ORL vs. LAL,W,118,12,31,0.494,25,8,6,4,2024-25,Orlando Magic,1,1,4.0,LAL,112.4,12.2,36.0,0.4696000000000001,23.4,11.2,7.0,4.6,47.6,1.9180327868852458,52.783040000000014,2025-03-21,3.0,0,False,102.30107278688527,Orlando Magic
8,2025-03-21,ORL @ WAS,W,120,13,42,0.479,25,12,9,8,2024-25,Orlando Magic,0,1,3.0,WAS,109.8,12.4,34.2,0.45999999999999996,21.8,11.2,6.4,5.0,45.6,1.7868852459016396,50.507999999999996,2025-03-19,2.0,0,False,97.89488524590163,Orlando Magic
9,2025-03-19,ORL vs. HOU,L,108,14,27,0.446,23,12,7,4,2024-25,Orlando Magic,1,0,4.0,HOU,113.0,13.0,34.2,0.45899999999999996,23.2,11.0,7.6,4.6,46.400000000000006,1.9333333333333333,51.867,2025-03-16,3.0,0,False,100.20033333333333,Orlando Magic
10,2025-03-16,ORL @ CLE,W,108,13,34,0.42,21,15,11,3,2024-25,Orlando Magic,0,1,3.0,CLE,113.0,11.6,31.8,0.45760000000000006,22.4,11.6,8.4,4.8,45.0,1.7777777777777777,51.708800000000004,2025-03-14,2.0,0,False,98.48657777777778,Orlando Magic
11,2025-03-14,ORL @ MIN,L,111,6,25,0.449,18,11,9,5,2024-25,Orlando Magic,0,0,3.0,MIN,112.0,10.8,31.8,0.4624,22.4,11.6,8.6,5.4,45.8,1.7777777777777777,51.788799999999995,2025-03-13,1.0,1,True,99.36657777777776,Orlando Magic
12,2025-03-13,ORL @ NOP,W,113,8,31,0.518,25,8,7,7,2024-25,Orlando Magic,0,1,2.0,NOP,104.8,10.8,29.2,0.4318000000000001,20.4,10.8,8.8,4.8,42.8,1.7288135593220337,45.25264000000001,2025-03-10,3.0,0,False,89.78145355932205,Orlando Magic
13,2025-03-10,ORL @ HOU,L,84,13,29,0.326,15,8,10,5,2024-25,Orlando Magic,0,0,3.0,HOU,105.4,9.0,29.6,0.445,19.6,10.4,8.4,5.0,43.0,1.719298245614035,46.903000000000006,2025-03-08,2.0,0,False,91.62229824561405,Orlando Magic
14,2025-03-08,ORL @ MIL,W,111,5,29,0.512,19,10,5,5,2024-25,Orlando Magic,0,1,2.0,MIL,108.4,8.2,27.6,0.453,20.6,9.8,8.2,5.4,41.2,1.9074074074074074,49.1052,2025-03-06,2.0,0,False,92.2126074074074,Orlando Magic
15,2025-03-06,ORL vs. CHI,L,123,9,24,0.46,26,12,10,5,2024-25,Orlando Magic,1,0,2.0,CHI,108.8,8.4,28.2,0.4596,22.6,10.4,8.8,5.4,42.4,1.9824561403508774,50.00448,2025-03-04,2.0,0,False,94.38693614035088,Orlando Magic
16,2025-03-04,ORL vs. TOR,L,113,7,28,0.482,28,14,12,5,2024-25,Orlando Magic,1,0,1.0,TOR,106.6,8.2,27.6,0.44560000000000005,21.0,11.6,8.0,5.0,40.6,1.6666666666666667,47.500960000000006,2025-03-02,2.0,0,False,89.76762666666667,Orlando Magic
17,2025-03-02,ORL vs. TOR,L,102,7,28,0.448,17,14,3,5,2024-25,Orlando Magic,1,0,1.0,TOR,112.8,8.6,28.0,0.4816,22.6,13.6,7.8,4.8,40.6,1.5479452054794522,54.324479999999994,2025-02-27,3.0,0,False,96.47242520547945,Orlando Magic
18,2025-02-27,ORL vs. GSW,L,115,15,31,0.506,23,18,9,4,2024-25,Orlando Magic,1,0,0.0,GSW,107.0,10.0,26.8,0.4526,23.0,13.6,8.2,5.4,40.4,1.5753424657534247,48.4282,2025-02-25,2.0,0,False,90.40354246575342,Orlando Magic
19,2025-02-25,ORL vs. CLE,L,82,12,23,0.367,21,10,7,8,2024-25,Orlando Magic,1,0,1.0,CLE,104.4,11.0,28.6,0.44939999999999997,22.8,13.8,8.0,5.4,42.0,1.5405405405405406,46.91736,2025-02-23,2.0,0,False,90.45790054054055,Orlando Magic
