,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-07,PHI @ MIA,L,105,14,31,0.432,20,13,7,4,2024-25,Philadelphia 76ers,0,0,1.0,MIA,109.6,13.4,32.0,0.4342,23.0,13.0,7.8,5.6,45.4,1.6428571428571428,47.588319999999996,2025-04-05,2.0,0,False,94.63117714285714,Philadelphia 76ers
1,2025-04-05,PHI vs. MIN,L,109,11,23,0.484,26,8,9,4,2024-25,Philadelphia 76ers,1,0,1.0,MIN,111.8,13.6,30.2,0.4542,25.0,12.8,8.0,5.2,43.4,1.8115942028985506,50.77956,2025-04-03,2.0,0,False,95.99115420289854,Philadelphia 76ers
2,2025-04-03,PHI vs. MIL,L,113,11,29,0.483,30,13,8,4,2024-25,Philadelphia 76ers,1,0,1.0,MIL,108.0,13.4,29.8,0.44959999999999994,23.8,13.8,9.0,5.0,43.8,1.6081081081081081,48.556799999999996,2025-04-01,2.0,0,False,93.96490810810809,Philadelphia 76ers
3,2025-04-01,PHI @ NYK,L,91,13,29,0.42,23,19,11,5,2024-25,Philadelphia 76ers,0,0,0.0,NYK,105.4,11.4,30.0,0.4582,24.8,13.8,8.2,5.4,43.6,1.6756756756756757,48.29428,2025-03-30,2.0,0,False,93.56995567567569,Philadelphia 76ers
4,2025-03-30,PHI vs. TOR,L,109,8,38,0.472,25,16,6,10,2024-25,Philadelphia 76ers,1,0,0.0,TOR,103.4,9.8,30.0,0.4718,26.4,14.8,8.2,6.0,44.2,1.670886075949367,48.78412,2025-03-29,1.0,1,False,94.65500607594937,Philadelphia 76ers
5,2025-03-29,PHI vs. MIA,L,95,6,31,0.5,28,18,7,7,2024-25,Philadelphia 76ers,1,0,0.0,MIA,104.4,10.2,32.2,0.4608,25.6,14.0,7.8,6.2,46.2,1.7066666666666668,48.10752,2025-03-26,3.0,0,False,96.01418666666666,Philadelphia 76ers
6,2025-03-26,PHI vs. WAS,L,114,13,34,0.429,22,4,7,5,2024-25,Philadelphia 76ers,1,0,0.0,WAS,101.6,10.4,31.4,0.4424,23.4,13.6,8.4,6.6,46.4,1.6027397260273972,44.94784,2025-03-24,2.0,0,False,92.9505797260274,Philadelphia 76ers
7,2025-03-24,PHI @ NOP,L,99,12,25,0.391,19,11,11,6,2024-25,Philadelphia 76ers,0,0,0.0,NOP,107.2,10.4,30.4,0.4464,23.6,12.4,7.8,6.4,44.599999999999994,1.7611940298507462,47.85408,2025-03-23,1.0,1,True,94.21527402985075,Philadelphia 76ers
8,2025-03-23,PHI @ ATL,L,119,13,24,0.44,24,13,8,4,2024-25,Philadelphia 76ers,0,0,0.0,ATL,109.4,9.8,28.2,0.46560000000000007,24.6,12.4,8.6,5.2,42.0,1.835820895522388,50.93664000000001,2025-03-21,2.0,0,False,94.7724608955224,Philadelphia 76ers
9,2025-03-21,PHI @ SAS,L,120,5,27,0.568,30,16,10,4,2024-25,Philadelphia 76ers,0,0,0.0,SAS,110.4,11.0,27.8,0.43920000000000003,23.8,11.2,8.8,4.4,41.0,1.9508196721311477,48.487680000000005,2025-03-19,2.0,0,False,91.43849967213114,Philadelphia 76ers
