,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,PHX vs. GSW,L,95,13,28,0.398,22,19,12,4,2024-25,Phoenix Suns,1,0,1.0,GSW,104.0,11.8,28.8,0.4488,25.6,13.2,9.6,4.2,42.6,1.802816901408451,46.6752,2025-04-06,2.0,0,False,91.07801690140845,Phoenix Suns
1,2025-04-06,PHX @ NYK,L,98,15,20,0.424,20,12,11,3,2024-25,Phoenix Suns,0,0,1.0,NYK,105.0,12.2,29.0,0.4418,24.8,12.2,9.8,4.4,43.2,1.878787878787879,46.389,2025-04-04,2.0,0,False,91.46778787878787,Phoenix Suns
2,2025-04-04,PHX @ BOS,L,103,11,29,0.441,24,6,7,2,2024-25,Phoenix Suns,0,0,0.0,BOS,106.2,12.6,24.8,0.4448,24.6,12.6,9.2,2.4,36.4,1.808823529411765,47.23776,2025-04-01,3.0,0,False,85.44658352941177,Phoenix Suns
3,2025-04-01,PHX @ MIL,L,123,15,18,0.478,26,13,6,0,2024-25,Phoenix Suns,0,0,0.0,MIL,105.6,12.8,24.8,0.44480000000000003,23.4,13.8,8.8,2.8,36.400000000000006,1.581081081081081,46.97088,2025-03-30,2.0,0,False,84.9519610810811,Phoenix Suns
4,2025-03-30,PHX vs. HOU,L,109,10,29,0.483,25,19,8,5,2024-25,Phoenix Suns,1,0,0.0,HOU,108.4,11.8,24.4,0.469,24.6,13.2,7.6,2.8,34.8,1.7323943661971832,50.8396,2025-03-28,2.0,0,False,87.37199436619719,Phoenix Suns
5,2025-03-28,PHX @ MIN,L,109,8,26,0.519,28,16,6,4,2024-25,Phoenix Suns,0,0,0.0,MIN,109.2,11.0,25.8,0.46699999999999997,25.0,13.4,6.8,2.8,35.4,1.7361111111111112,50.9964,2025-03-26,2.0,0,False,88.13251111111111,Phoenix Suns
6,2025-03-26,PHX vs. BOS,L,102,11,27,0.414,22,13,7,3,2024-25,Phoenix Suns,1,0,1.0,BOS,110.2,11.6,27.6,0.47400000000000003,25.2,15.4,5.8,3.2,36.6,1.5365853658536586,52.23480000000001,2025-03-24,2.0,0,False,90.37138536585367,Phoenix Suns
7,2025-03-24,PHX vs. MIL,W,108,14,38,0.476,25,16,2,4,2024-25,Phoenix Suns,1,1,2.0,MIL,110.2,11.0,30.8,0.48279999999999995,26.6,15.4,5.8,3.8,40.4,1.6219512195121955,53.204559999999994,2025-03-21,3.0,0,False,95.22651121951219,Phoenix Suns
8,2025-03-21,PHX vs. CLE,W,123,12,34,0.522,33,13,6,3,2024-25,Phoenix Suns,1,1,3.0,CLE,113.8,11.6,31.6,0.4842000000000001,28.4,13.8,6.0,4.0,41.6,1.9189189189189186,55.101960000000005,2025-03-19,2.0,0,False,98.62087891891892,Phoenix Suns
9,2025-03-19,PHX vs. CHI,W,127,13,33,0.49,34,11,9,6,2024-25,Phoenix Suns,1,1,4.0,CHI,117.8,12.4,34.8,0.4826,29.6,12.6,6.2,4.0,45.0,2.1764705882352944,56.85028,2025-03-17,2.0,0,False,104.0267505882353,Phoenix Suns
