,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-06,POR vs. SAS,W,120,8,36,0.472,25,15,10,5,2024-25,Portland Trail Blazers,1,1,2.0,SAS,110.8,16.2,33.6,0.4262,24.6,14.4,9.2,5.2,48.0,1.5974025974025974,47.22296,2025-04-04,2.0,0,False,96.8203625974026,Portland Trail Blazers
1,2025-04-04,POR @ CHI,L,113,19,35,0.383,23,5,7,5,2024-25,Portland Trail Blazers,0,0,2.0,CHI,111.4,14.2,35.2,0.43620000000000003,23.2,15.6,9.8,5.2,50.2,1.397590361445783,48.59268000000001,2025-04-03,1.0,1,True,100.1902703614458,Portland Trail Blazers
2,2025-04-03,POR @ TOR,W,112,17,37,0.488,20,20,10,6,2024-25,Portland Trail Blazers,0,1,3.0,TOR,119.6,15.4,34.4,0.45220000000000005,25.0,14.6,10.6,5.2,50.2,1.6025641025641026,54.08312,2025-04-01,2.0,0,False,105.88568410256411,Portland Trail Blazers
3,2025-04-01,POR @ ATL,W,127,19,35,0.456,30,17,13,5,2024-25,Portland Trail Blazers,0,1,3.0,ATL,113.0,15.2,33.8,0.44719999999999993,23.4,14.2,9.8,5.0,48.599999999999994,1.5394736842105263,50.53359999999999,2025-03-30,2.0,0,False,100.67307368421052,Portland Trail Blazers
4,2025-03-30,POR @ NYK,L,93,13,26,0.437,19,14,9,4,2024-25,Portland Trail Blazers,0,0,2.0,NYK,110.4,16.6,30.0,0.4324,23.0,13.2,10.0,4.6,44.6,1.619718309859155,47.73696,2025-03-27,3.0,0,False,93.95667830985916,Portland Trail Blazers
5,2025-03-27,POR @ SAC,L,107,15,17,0.398,23,10,11,3,2024-25,Portland Trail Blazers,0,0,2.0,SAC,110.0,16.6,28.2,0.4358000000000001,24.0,14.0,10.4,4.2,42.8,1.6,47.93800000000001,2025-03-25,2.0,0,False,92.33800000000001,Portland Trail Blazers
6,2025-03-25,POR vs. CLE,L,111,19,26,0.4,28,9,9,3,2024-25,Portland Trail Blazers,1,0,1.0,CLE,110.8,15.4,26.2,0.43600000000000005,24.8,12.4,9.6,3.6,39.4,1.8507462686567164,48.308800000000005,2025-03-23,2.0,0,False,89.55954626865672,Portland Trail Blazers
7,2025-03-23,POR vs. BOS,L,116,11,27,0.489,24,12,6,3,2024-25,Portland Trail Blazers,1,0,1.0,BOS,111.0,14.6,23.8,0.45280000000000004,24.8,12.4,9.4,3.8,37.0,1.8507462686567164,50.2608,2025-03-21,2.0,0,False,89.11154626865672,Portland Trail Blazers
8,2025-03-21,POR vs. DEN,W,128,15,23,0.54,30,17,12,6,2024-25,Portland Trail Blazers,1,1,2.0,DEN,115.4,16.4,27.2,0.44880000000000003,26.0,13.0,8.2,4.2,39.599999999999994,1.8571428571428572,51.791520000000006,2025-03-19,2.0,0,False,93.24866285714285,Portland Trail Blazers
9,2025-03-19,POR vs. MEM,W,115,22,43,0.417,25,17,3,6,2024-25,Portland Trail Blazers,1,1,3.0,MEM,116.4,16.2,31.0,0.454,26.4,12.6,9.0,4.2,44.2,1.9411764705882353,52.845600000000005,2025-03-17,2.0,0,False,98.98677647058824,Portland Trail Blazers
