,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-07,SAC @ DET,W,127,18,32,0.516,20,10,5,4,2024-25,Sacramento Kings,0,1,3.0,DET,114.4,11.6,31.4,0.49560000000000004,24.8,10.8,5.6,3.4,40.4,2.101694915254237,56.69664000000001,2025-04-06,1.0,1,True,99.19833491525424,Sacramento Kings
1,2025-04-06,SAC @ CLE,W,120,8,31,0.537,25,14,10,3,2024-25,Sacramento Kings,0,1,3.0,CLE,117.6,11.6,31.6,0.49000000000000005,23.8,9.8,5.2,3.2,40.0,2.2037037037037037,57.624,2025-04-04,2.0,0,False,99.8277037037037,Sacramento Kings
2,2025-04-04,SAC @ CHA,W,125,10,34,0.495,26,6,4,3,2024-25,Sacramento Kings,0,1,3.0,CHA,119.8,12.8,31.4,0.48719999999999997,24.2,9.8,6.2,3.6,41.2,2.2407407407407405,58.36655999999999,2025-04-02,2.0,0,False,101.80730074074074,Sacramento Kings
3,2025-04-02,SAC @ WAS,L,111,17,31,0.421,25,11,10,3,2024-25,Sacramento Kings,0,0,3.0,WAS,118.4,11.8,33.4,0.48719999999999997,23.6,10.4,7.2,3.0,43.599999999999994,2.0701754385964914,57.68448,2025-03-31,2.0,0,False,103.3546554385965,Sacramento Kings
4,2025-03-31,SAC @ IND,L,109,6,39,0.467,22,11,7,2,2024-25,Sacramento Kings,0,0,2.0,IND,111.2,10.0,33.4,0.46799999999999997,23.0,11.6,7.4,3.4,44.2,1.8253968253968254,52.041599999999995,2025-03-29,2.0,0,False,98.06699682539681,Sacramento Kings
5,2025-03-29,SAC @ ORL,L,91,9,32,0.42,17,16,6,6,2024-25,Sacramento Kings,0,0,2.0,ORL,112.8,10.2,34.6,0.4904,22.8,12.8,7.0,3.4,45.0,1.6521739130434783,55.317119999999996,2025-03-27,2.0,0,False,101.96929391304347,Sacramento Kings
6,2025-03-27,SAC vs. POR,W,128,9,37,0.649,24,20,8,3,2024-25,Sacramento Kings,1,1,1.0,POR,108.8,9.2,34.0,0.4728,24.0,13.8,8.2,4.2,46.4,1.6216216216216215,51.44064,2025-03-25,2.0,0,False,99.46226162162162,Sacramento Kings
7,2025-03-25,SAC vs. OKC,L,105,5,31,0.407,32,11,10,7,2024-25,Sacramento Kings,1,0,1.0,OKC,105.6,7.4,35.2,0.47919999999999996,23.6,14.4,7.6,3.8,46.6,1.5324675324675325,50.603519999999996,2025-03-24,1.0,1,False,98.73598753246753,Sacramento Kings
8,2025-03-24,SAC vs. BOS,L,95,8,37,0.453,23,14,7,1,2024-25,Sacramento Kings,1,0,1.0,BOS,105.4,9.0,33.4,0.476,23.4,13.8,7.0,3.8,44.2,1.581081081081081,50.1704,2025-03-22,2.0,0,False,95.95148108108108,Sacramento Kings
9,2025-03-22,SAC vs. MIL,L,108,14,30,0.451,21,8,4,2,2024-25,Sacramento Kings,1,0,1.0,MIL,110.4,9.0,32.4,0.48739999999999994,25.4,12.8,6.6,3.6,42.599999999999994,1.8405797101449273,53.80896,2025-03-20,2.0,0,False,98.24953971014492,Sacramento Kings
10,2025-03-20,SAC vs. CHI,L,116,9,27,0.477,27,11,4,5,2024-25,Sacramento Kings,1,0,1.0,CHI,109.4,10.0,30.4,0.4586,26.2,11.0,6.8,3.2,40.4,2.183333333333333,50.170840000000005,2025-03-19,1.0,1,False,92.75417333333334,Sacramento Kings
11,2025-03-19,SAC vs. CLE,W,123,14,27,0.505,28,11,9,1,2024-25,Sacramento Kings,1,1,2.0,CLE,114.8,11.0,29.8,0.48179999999999995,26.8,11.2,7.0,3.2,40.0,2.19672131147541,55.31063999999999,2025-03-17,2.0,0,False,97.50736131147539,Sacramento Kings
12,2025-03-17,SAC vs. MEM,W,132,10,28,0.523,35,12,11,7,2024-25,Sacramento Kings,1,1,2.0,MEM,117.0,11.8,28.0,0.49000000000000005,27.2,12.2,7.0,3.2,38.2,2.0606060606060606,57.330000000000005,2025-03-14,3.0,0,False,97.59060606060606,Sacramento Kings
13,2025-03-14,SAC @ PHX,L,106,12,28,0.494,25,19,7,1,2024-25,Sacramento Kings,0,0,2.0,PHX,116.2,10.0,27.0,0.4934,28.0,13.4,7.6,3.6,38.2,1.9444444444444444,57.33308,2025-03-13,1.0,1,True,97.47752444444444,Sacramento Kings
14,2025-03-13,SAC @ GSW,L,104,5,25,0.468,25,14,7,4,2024-25,Sacramento Kings,0,0,2.0,GSW,113.8,11.0,26.2,0.48179999999999995,26.2,14.4,8.2,3.4,37.8,1.7012987012987013,54.82883999999999,2025-03-10,3.0,0,False,94.3301387012987,Sacramento Kings
15,2025-03-10,SAC vs. NYK,L,104,14,23,0.419,18,16,7,4,2024-25,Sacramento Kings,1,0,1.0,NYK,111.2,9.8,28.8,0.4728,26.0,13.8,7.6,3.4,39.8,1.7567567567567566,52.57536,2025-03-09,1.0,1,False,94.13211675675676,Sacramento Kings
16,2025-03-09,SAC @ LAC,L,110,8,40,0.46,27,8,6,1,2024-25,Sacramento Kings,0,0,1.0,LAC,110.2,11.0,30.2,0.4702,25.2,13.0,6.6,2.8,39.599999999999994,1.8,51.81604,2025-03-07,2.0,0,False,93.21603999999999,Sacramento Kings
