,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,SAS @ LAC,L,117,8,26,0.529,29,16,8,4,2024-25,San Antonio Spurs,0,0,2.0,LAC,112.6,9.0,33.4,0.4774,25.6,14.6,8.2,3.4,45.0,1.6410256410256412,53.75523999999999,2025-04-06,2.0,0,False,100.39626564102564,San Antonio Spurs
1,2025-04-06,SAS @ POR,L,109,13,32,0.432,26,18,9,4,2024-25,San Antonio Spurs,0,0,1.0,POR,110.2,9.0,32.2,0.4622,26.6,14.4,7.8,3.8,43.800000000000004,1.7272727272727273,50.93444,2025-04-04,2.0,0,False,96.46171272727273,San Antonio Spurs
2,2025-04-04,SAS vs. CLE,L,113,9,35,0.436,27,11,9,4,2024-25,San Antonio Spurs,1,0,2.0,CLE,113.2,9.6,34.0,0.46420000000000006,26.4,13.6,7.6,4.4,46.0,1.8082191780821917,52.54744000000001,2025-04-02,2.0,0,False,100.35565917808219,San Antonio Spurs
3,2025-04-02,SAS @ DEN,W,113,8,44,0.443,27,10,6,5,2024-25,San Antonio Spurs,0,1,1.0,DEN,111.4,9.4,33.2,0.4668,26.6,14.4,7.8,4.2,45.2,1.7272727272727273,52.00152,2025-04-01,1.0,1,True,98.92879272727274,San Antonio Spurs
4,2025-04-01,SAS vs. ORL,L,105,9,29,0.494,24,17,7,4,2024-25,San Antonio Spurs,1,0,1.0,ORL,109.2,9.2,33.4,0.45620000000000005,26.8,15.4,7.0,4.0,44.4,1.6341463414634148,49.817040000000006,2025-03-30,2.0,0,False,95.85118634146342,San Antonio Spurs
5,2025-03-30,SAS vs. GSW,L,106,7,27,0.476,30,21,4,3,2024-25,San Antonio Spurs,1,0,1.0,GSW,109.6,8.6,32.0,0.4572,26.6,12.6,6.4,3.4,41.8,1.9558823529411766,50.10912,2025-03-29,1.0,1,False,93.86500235294116,San Antonio Spurs
6,2025-03-29,SAS vs. BOS,L,111,10,25,0.437,25,4,6,1,2024-25,San Antonio Spurs,1,0,1.0,BOS,110.2,10.6,31.2,0.45120000000000005,26.6,12.4,6.6,3.2,41.0,1.9850746268656716,49.722240000000006,2025-03-27,2.0,0,False,92.70731462686568,San Antonio Spurs
7,2025-03-27,SAS @ CLE,L,116,19,31,0.406,27,10,10,3,2024-25,San Antonio Spurs,0,0,0.0,CLE,106.8,12.2,27.4,0.43520000000000003,25.4,12.4,6.8,2.6,36.8,1.8955223880597014,46.47936,2025-03-25,2.0,0,False,85.1748823880597,San Antonio Spurs
8,2025-03-25,SAS @ DET,L,96,16,25,0.363,21,10,7,2,2024-25,San Antonio Spurs,0,0,1.0,DET,110.4,13.0,28.2,0.43179999999999996,26.0,11.8,8.4,3.0,39.6,2.03125,47.670719999999996,2025-03-23,2.0,0,False,89.30197,San Antonio Spurs
9,2025-03-23,SAS @ TOR,W,123,13,33,0.477,27,14,15,6,2024-25,San Antonio Spurs,0,1,2.0,TOR,114.8,13.4,27.8,0.44220000000000004,27.2,10.4,9.8,3.4,41.0,2.3859649122807016,50.76456,2025-03-21,2.0,0,False,94.1505249122807,San Antonio Spurs
