,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-06,TOR @ BKN,W,120,13,34,0.5,30,18,16,4,2024-25,Toronto Raptors,0,1,2.0,BKN,114.2,14.6,32.6,0.4526,29.0,12.8,10.4,3.4,46.400000000000006,2.101449275362319,51.68692,2025-04-04,2.0,0,False,100.18836927536233,Toronto Raptors
1,2025-04-04,TOR vs. DET,L,105,16,33,0.418,24,15,9,6,2024-25,Toronto Raptors,1,0,2.0,DET,111.2,14.8,31.0,0.44939999999999997,28.4,13.6,11.6,3.4,46.0,1.9452054794520548,49.973279999999995,2025-04-03,1.0,1,False,97.91848547945204,Toronto Raptors
2,2025-04-03,TOR vs. POR,L,103,13,22,0.458,29,17,14,1,2024-25,Toronto Raptors,1,0,2.0,POR,114.4,13.4,30.8,0.46020000000000005,31.0,14.0,10.8,3.2,44.8,2.066666666666667,52.64688000000001,2025-04-01,2.0,0,False,99.51354666666668,Toronto Raptors
3,2025-04-01,TOR @ CHI,L,118,9,26,0.454,35,12,7,3,2024-25,Toronto Raptors,0,0,2.0,CHI,114.6,12.8,29.6,0.4612,30.0,14.4,11.2,3.6,44.4,1.948051948051948,52.853519999999996,2025-03-30,2.0,0,False,99.20157194805194,Toronto Raptors
4,2025-03-30,TOR @ PHI,W,127,13,33,0.476,32,10,10,4,2024-25,Toronto Raptors,0,1,2.0,PHI,112.2,12.4,29.6,0.44960000000000006,29.6,12.0,9.8,3.8,43.2,2.276923076923077,50.44512000000001,2025-03-28,2.0,0,False,95.92204307692309,Toronto Raptors
5,2025-03-28,TOR vs. CHA,W,108,11,34,0.442,28,6,9,5,2024-25,Toronto Raptors,1,1,3.0,CHA,114.4,12.6,32.2,0.4504,31.6,11.2,9.0,3.2,44.400000000000006,2.5901639344262297,51.525760000000005,2025-03-26,2.0,0,False,98.51592393442624,Toronto Raptors
6,2025-03-26,TOR @ BKN,W,116,17,46,0.422,34,11,5,3,2024-25,Toronto Raptors,0,1,4.0,BKN,116.2,13.4,36.4,0.43999999999999995,31.4,10.2,8.4,4.2,49.0,2.803571428571429,51.12799999999999,2025-03-24,2.0,0,False,102.93157142857143,Toronto Raptors
7,2025-03-24,TOR @ WAS,W,112,17,43,0.406,28,12,11,6,2024-25,Toronto Raptors,0,1,4.0,WAS,110.4,14.8,37.2,0.42519999999999997,29.8,12.0,8.6,4.2,50.0,2.292307692307692,46.94208,2025-03-23,1.0,1,True,99.23438769230769,Toronto Raptors
8,2025-03-23,TOR vs. SAS,L,89,16,30,0.38,27,21,8,3,2024-25,Toronto Raptors,1,0,3.0,SAS,107.8,13.6,38.0,0.44279999999999997,29.8,14.6,8.0,4.2,50.2,1.9102564102564104,47.733839999999994,2025-03-20,3.0,0,False,99.84409641025641,Toronto Raptors
9,2025-03-20,TOR @ GSW,L,114,7,37,0.564,32,23,7,4,2024-25,Toronto Raptors,0,0,2.0,GSW,104.0,13.8,36.8,0.42560000000000003,28.2,15.6,7.0,3.6,47.4,1.6987951807228914,44.26240000000001,2025-03-17,3.0,0,False,93.36119518072289,Toronto Raptors
