,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-06,UTA @ ATL,L,134,7,25,0.517,29,10,10,4,2024-25,Utah Jazz,0,0,1.0,ATL,119.0,14.0,33.4,0.446,24.8,14.8,8.4,3.4,45.2,1.5696202531645569,53.074,2025-04-04,2.0,0,False,99.84362025316456,Utah Jazz
1,2025-04-04,UTA @ IND,L,112,19,33,0.375,21,11,5,1,2024-25,Utah Jazz,0,0,1.0,IND,119.0,14.2,33.0,0.44139999999999996,25.0,14.0,8.6,3.6,45.2,1.6666666666666667,52.526599999999995,2025-04-02,2.0,0,False,99.39326666666666,Utah Jazz
2,2025-04-02,UTA @ HOU,L,105,10,29,0.426,25,9,7,6,2024-25,Utah Jazz,0,0,1.0,HOU,118.0,13.2,30.8,0.4468,25.4,12.8,9.8,3.4,44.0,1.8405797101449273,52.7224,2025-03-31,2.0,0,False,98.56297971014493,Utah Jazz
3,2025-03-31,UTA @ CHA,L,106,14,27,0.406,25,10,13,2,2024-25,Utah Jazz,0,0,0.0,CHA,110.0,12.8,28.4,0.41580000000000006,24.2,11.4,9.0,2.6,40.0,1.9516129032258063,45.73800000000001,2025-03-28,3.0,0,False,87.68961290322582,Utah Jazz
4,2025-03-28,UTA @ DEN,L,93,14,28,0.355,21,17,10,0,2024-25,Utah Jazz,0,0,0.0,DEN,105.2,12.0,29.4,0.42119999999999996,24.2,12.6,8.0,2.8,40.2,1.7794117647058822,44.31024,2025-03-27,1.0,1,True,86.2896517647059,Utah Jazz
5,2025-03-27,UTA vs. HOU,L,110,3,30,0.544,29,16,5,5,2024-25,Utah Jazz,1,0,0.0,HOU,103.4,9.0,27.6,0.43340000000000006,24.8,13.0,8.2,3.2,39.0,1.7714285714285716,44.81356000000001,2025-03-25,2.0,0,False,85.58498857142858,Utah Jazz
6,2025-03-25,UTA vs. MEM,L,103,4,24,0.436,24,13,6,3,2024-25,Utah Jazz,1,0,0.0,MEM,100.6,9.6,29.6,0.4202,24.8,14.8,7.6,3.0,40.2,1.5696202531645569,42.27212,2025-03-23,2.0,0,False,84.04174025316456,Utah Jazz
7,2025-03-23,UTA vs. CLE,L,91,13,39,0.36,25,18,4,5,2024-25,Utah Jazz,1,0,0.0,CLE,99.2,8.6,30.0,0.42940000000000006,24.6,16.2,6.4,3.0,39.4,1.430232558139535,42.59648000000001,2025-03-21,2.0,0,False,83.42671255813954,Utah Jazz
8,2025-03-21,UTA vs. BOS,L,99,9,29,0.452,24,17,7,2,2024-25,Utah Jazz,1,0,1.0,BOS,106.2,7.6,31.0,0.4708,26.4,16.0,5.8,3.2,40.0,1.552941176470588,49.998960000000004,2025-03-19,2.0,0,False,91.5519011764706,Utah Jazz
9,2025-03-19,UTA vs. WAS,W,128,9,33,0.562,30,16,7,1,2024-25,Utah Jazz,1,1,1.0,WAS,103.6,7.8,33.8,0.4434,24.6,16.2,5.6,3.0,42.4,1.430232558139535,45.93624,2025-03-17,2.0,0,False,89.76647255813953,Utah Jazz
10,2025-03-17,UTA vs. CHI,L,97,4,44,0.407,20,17,4,4,2024-25,Utah Jazz,1,0,1.0,CHI,103.4,9.0,35.8,0.44279999999999997,24.4,18.0,5.2,2.4,43.4,1.2842105263157895,45.78552,2025-03-16,1.0,1,False,90.46973052631579,Utah Jazz
11,2025-03-16,UTA @ MIN,L,102,10,34,0.433,23,22,4,0,2024-25,Utah Jazz,0,0,1.0,MIN,108.8,7.6,33.8,0.4584,24.0,17.6,6.8,1.8,42.4,1.2903225806451613,49.87392,2025-03-14,2.0,0,False,93.56424258064516,Utah Jazz
12,2025-03-14,UTA vs. TOR,L,118,6,29,0.438,23,16,12,2,2024-25,Utah Jazz,1,0,1.0,TOR,112.0,9.2,36.6,0.4614,24.0,18.8,6.6,3.0,46.2,1.2121212121212122,51.6768,2025-03-12,2.0,0,False,99.08892121212122,Utah Jazz
13,2025-03-12,UTA @ MEM,L,115,17,43,0.467,24,23,6,8,2024-25,Utah Jazz,0,0,0.0,MEM,108.0,10.2,36.8,0.4396,23.8,18.0,5.8,3.6,46.199999999999996,1.2526315789473685,47.4768,2025-03-10,2.0,0,False,94.92943157894736,Utah Jazz
14,2025-03-10,UTA @ BOS,L,108,14,34,0.453,29,12,3,4,2024-25,Utah Jazz,0,0,0.0,BOS,113.0,11.4,34.8,0.442,24.8,18.0,7.4,3.6,45.8,1.305263157894737,49.946,2025-03-09,1.0,1,True,97.05126315789474,Utah Jazz
15,2025-03-09,UTA @ PHI,L,122,10,34,0.419,25,17,12,4,2024-25,Utah Jazz,0,0,0.0,PHI,114.4,13.2,35.4,0.44820000000000004,24.4,18.4,7.6,5.6,48.599999999999994,1.2577319587628866,51.274080000000005,2025-03-07,2.0,0,False,101.13181195876288,Utah Jazz
16,2025-03-07,UTA @ TOR,L,109,19,37,0.464,21,24,5,10,2024-25,Utah Jazz,0,0,0.0,TOR,115.2,15.4,37.8,0.45359999999999995,24.0,18.0,6.2,5.8,49.8,1.263157894736842,52.25471999999999,2025-03-05,2.0,0,False,103.31787789473682,Utah Jazz
17,2025-03-05,UTA @ WAS,L,122,17,41,0.465,21,14,5,3,2024-25,Utah Jazz,0,0,0.0,WAS,113.4,13.8,35.6,0.44559999999999994,23.0,18.8,6.4,4.4,46.400000000000006,1.1616161616161615,50.53104,2025-03-03,2.0,0,False,98.09265616161616,Utah Jazz
18,2025-03-03,UTA vs. DET,L,106,9,32,0.427,19,27,7,1,2024-25,Utah Jazz,1,0,0.0,DET,116.0,12.8,35.2,0.4508,24.2,18.6,6.6,4.4,46.2,1.2346938775510203,52.2928,2025-03-02,1.0,1,False,99.72749387755103,Utah Jazz
19,2025-03-02,UTA vs. NOP,L,121,9,32,0.479,35,11,4,4,2024-25,Utah Jazz,1,0,1.0,NOP,115.0,13.8,37.4,0.4692,26.2,19.2,4.8,4.4,46.599999999999994,1.297029702970297,53.958,2025-02-28,2.0,0,False,101.85502970297028,Utah Jazz
20,2025-02-28,UTA vs. MIN,W,117,15,45,0.511,35,20,3,4,2024-25,Utah Jazz,1,1,1.0,MIN,113.4,11.4,35.4,0.4668,28.4,16.2,5.6,2.8,43.8,1.6511627906976745,52.935120000000005,2025-02-26,2.0,0,False,98.38628279069768,Utah Jazz
21,2025-02-26,UTA vs. SAC,L,101,7,27,0.452,32,9,9,2,2024-25,Utah Jazz,1,0,1.0,SAC,111.4,10.2,34.0,0.45339999999999997,29.0,16.4,6.0,2.6,42.6,1.6666666666666667,50.50876,2025-02-24,2.0,0,False,94.77542666666668,Utah Jazz
22,2025-02-24,UTA vs. POR,L,112,11,34,0.398,24,15,7,2,2024-25,Utah Jazz,1,0,2.0,POR,115.0,11.6,36.0,0.46799999999999997,30.8,12.6,5.4,3.0,44.4,2.264705882352941,53.81999999999999,2025-02-22,2.0,0,False,100.48470588235293,Utah Jazz
23,2025-02-22,UTA vs. HOU,W,124,16,42,0.5,28,8,4,3,2024-25,Utah Jazz,1,1,2.0,HOU,112.2,12.6,35.4,0.46340000000000003,29.2,14.2,6.0,2.6,44.0,1.9210526315789473,51.993480000000005,2025-02-21,1.0,1,False,97.91453263157895,Utah Jazz
24,2025-02-21,UTA vs. OKC,L,107,14,29,0.456,27,19,7,2,2024-25,Utah Jazz,1,0,1.0,OKC,112.0,11.4,34.0,0.4586,26.8,15.4,6.8,2.0,42.8,1.6341463414634148,51.3632,2025-02-13,8.0,0,False,95.79734634146341,Utah Jazz
25,2025-02-13,UTA vs. LAC,L,116,9,38,0.487,23,26,7,1,2024-25,Utah Jazz,1,0,2.0,LAC,118.0,12.2,36.0,0.4728,26.4,16.0,7.0,3.2,46.2,1.552941176470588,55.7904,2025-02-12,1.0,1,False,103.54334117647059,Utah Jazz
26,2025-02-12,UTA vs. LAL,W,131,11,37,0.523,30,12,10,8,2024-25,Utah Jazz,1,1,2.0,LAL,118.2,12.2,34.8,0.48600000000000004,27.4,16.8,6.8,3.4,45.0,1.539325842696629,57.44520000000001,2025-02-10,2.0,0,False,103.98452584269663,Utah Jazz
27,2025-02-10,UTA @ LAL,L,113,11,28,0.464,29,19,6,3,2024-25,Utah Jazz,0,0,1.0,LAL,115.4,11.4,31.6,0.48,27.0,19.0,7.4,3.6,42.6,1.35,55.392,2025-02-08,2.0,0,False,99.34200000000001,Utah Jazz
28,2025-02-08,UTA @ LAC,L,110,12,26,0.47,26,19,7,4,2024-25,Utah Jazz,0,0,1.0,LAC,119.4,13.6,33.4,0.4708,27.4,17.2,7.0,4.6,45.0,1.5054945054945055,56.21352,2025-02-07,1.0,1,True,102.7190145054945,Utah Jazz
