,GAME_DATE,MATCHUP,WL,PTS,OREB,DREB,FG_PCT,AST,TOV,STL,BLK,SEASON,TEAM,HOME,WIN,STREAK,OPP_ABBR,PTS_AVG,OREB_AVG,DREB_AVG,FG_PCT_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,DEFENSE_SCORE,AST_TOV_RATIO,EFFICIENCY,PREV_GAME_DATE,DAYS_REST,BACK_TO_BACK,B2B_ROAD,FORM_SCORE,Team
0,2025-04-08,WAS @ IND,L,98,13,37,0.418,18,11,2,8,2024-25,Washington Wizards,0,0,1.0,IND,99.8,10.2,32.4,0.4224,24.0,12.6,5.4,4.2,42.0,1.7647058823529411,42.155519999999996,2025-04-06,2.0,0,False,85.92022588235294,Washington Wizards
1,2025-04-06,WAS @ BOS,L,90,11,21,0.407,21,10,5,3,2024-25,Washington Wizards,0,0,0.0,BOS,95.4,10.6,31.0,0.4096,20.6,13.2,5.4,4.2,40.6,1.4507042253521127,39.07584000000001,2025-04-03,3.0,0,False,81.12654422535212,Washington Wizards
2,2025-04-03,WAS vs. ORL,L,97,8,30,0.447,16,13,4,3,2024-25,Washington Wizards,1,0,1.0,ORL,100.8,10.4,31.2,0.43499999999999994,20.2,12.8,5.2,3.8,40.2,1.4637681159420288,43.84799999999999,2025-04-02,1.0,1,False,85.51176811594203,Washington Wizards
3,2025-04-02,WAS vs. SAC,W,116,7,34,0.512,24,14,6,3,2024-25,Washington Wizards,1,1,1.0,SAC,99.0,8.8,31.2,0.4358000000000001,20.2,13.2,6.2,4.2,41.6,1.4225352112676057,43.144200000000005,2025-03-31,2.0,0,False,86.16673521126762,Washington Wizards
4,2025-03-31,WAS vs. MIA,L,94,5,34,0.395,22,18,14,4,2024-25,Washington Wizards,1,0,1.0,MIA,101.8,7.6,30.4,0.4391999999999999,20.8,12.2,6.8,4.0,41.2,1.575757575757576,44.710559999999994,2025-03-29,2.0,0,False,87.48631757575757,Washington Wizards
5,2025-03-29,WAS vs. BKN,L,112,7,33,0.435,21,6,5,7,2024-25,Washington Wizards,1,0,1.0,BKN,105.6,7.8,30.0,0.44719999999999993,20.4,13.2,7.6,3.8,41.4,1.436619718309859,47.22431999999999,2025-03-27,2.0,0,False,90.06093971830984,Washington Wizards
6,2025-03-27,WAS vs. IND,L,109,12,19,0.447,19,15,9,2,2024-25,Washington Wizards,1,0,2.0,IND,110.0,8.8,31.2,0.4588,23.2,12.6,7.4,4.4,43.0,1.7058823529411764,50.467999999999996,2025-03-26,1.0,1,False,95.17388235294118,Washington Wizards
7,2025-03-26,WAS @ PHI,W,119,13,36,0.505,30,10,3,6,2024-25,Washington Wizards,0,1,1.0,PHI,107.6,9.2,32.2,0.4368,23.2,13.2,7.8,5.6,45.6,1.6338028169014085,46.99968,2025-03-24,2.0,0,False,94.23348281690141,Washington Wizards
8,2025-03-24,WAS vs. TOR,L,104,9,39,0.402,24,17,8,9,2024-25,Washington Wizards,1,0,1.0,TOR,109.4,10.2,31.6,0.4464,23.0,13.6,6.8,5.8,44.2,1.5753424657534247,48.83616000000001,2025-03-22,2.0,0,False,94.61150246575343,Washington Wizards
9,2025-03-22,WAS @ NYK,L,103,10,31,0.443,21,20,9,5,2024-25,Washington Wizards,0,0,1.0,NYK,108.0,10.4,31.6,0.4444,23.4,15.2,8.0,5.2,44.8,1.4444444444444444,47.995200000000004,2025-03-21,1.0,1,True,94.23964444444445,Washington Wizards
